10	tt8913688:-	tt8913720:-	tt8913726:-	tt8913728:-	tt8913732:-	
9	tt8913736:-	tt8913742:-	tt8913758:-	tt8913760:-	tt8913762:-	tt8913768:-	
8	tt8913780:-	tt8913784:-	tt8913786:-	tt8913788:-	tt8913790:-	tt8913796:-	
7	tt8913802:-	tt8913806:-	tt8913808:-	tt8913812:-	tt8913816:-	
6	tt8913818:-	tt8913820:-	tt8913822:-	tt8913824:-	tt8913828:-	tt8913834:-	
