\N	tt12368800:-	tt12618600:-	tt12618638:-	tt12637854:-	tt1370994:7.0	tt1387844:-	tt1429207:-	tt1483135:-	tt1593006:-	tt1717317:-	tt2212281:9.1	tt2727370:-	tt2740018:-	tt2751150:-	tt2753228:-	tt2826298:-	tt2829278:-	tt2913732:-	tt3229720:-	tt3261316:-	tt3290926:-	tt3324500:-	tt3324504:-	tt3678742:-	tt3709304:-	tt6169564:-	tt7250196:-	tt7919078:-	tt9834304:-	
1	tt9251666:-	tt9251766:-	
2	tt9251684:-	tt9251768:-	
3	tt9251714:-	
4	tt9251716:-	
5	tt9251722:-	
6	tt9251730:-	
7	tt9251732:-	
8	tt9251736:-	
9	tt9251740:-	
10	tt9251744:-	
11	tt9251756:-	
12	tt9251760:-	
13	tt9251762:-	
