3	tt2260554:5.8	tt3869586:-	tt3869612:-	tt3869636:-	tt3869652:-	tt3869704:-	tt3874540:-	
1	tt3869592:-	tt3869692:-	tt3882252:-	
5	tt3869830:-	
6	tt3870110:-	tt3882296:-	
7	tt3882242:-	
2	tt3882272:-	tt3882278:-	
4	tt4143808:-	tt4156106:-	
