2	tt12026432:7.2	tt12026440:7.0	tt12148576:-	tt12186468:-	tt12229584:6.4	tt12272806:-	tt12272810:-	
3	tt14572182:-	tt14644198:-	tt14644202:-	tt14644210:-	tt14644212:-	tt14644220:-	tt14644228:-	tt14644232:-	
1	tt8905176:-	tt8905178:-	tt8905182:-	tt8905184:-	tt8905204:-	tt8905206:-	tt8905210:-	tt8905212:-	
