6	tt11214292:-	tt11287440:-	tt11287500:-	tt11380520:-	tt11380650:-	tt11456204:-	tt11456364:-	
1	tt5003524:-	tt5003534:-	tt5003540:-	tt5326540:-	tt5326562:-	tt5326640:-	tt5326674:-	tt5326730:-	
2	tt5327018:-	tt5327124:-	tt5924238:-	tt5924254:-	tt5924268:-	tt5924270:-	tt5924298:-	tt5924312:-	
3	tt5924370:-	tt5931606:-	tt5931642:-	tt5931718:-	tt5931780:-	tt5931812:-	tt5931850:-	tt5932036:-	tt5932068:-	
4	tt6764390:-	tt6764428:-	tt6764476:-	tt6764648:-	tt6764766:-	tt6764798:-	tt6764896:-	tt6764974:-	
5	tt7808692:-	tt7853582:-	tt7858386:-	tt7858422:-	tt7858460:-	tt7858486:-	tt7858524:-	tt7858620:-	
