1	tt5576916:7.7	tt5576918:-	tt5576922:-	tt5576928:7.2	tt5576932:8.6	tt5576938:-	
2	tt5873468:8.6	tt5873474:-	tt5873478:-	tt5891304:-	tt5908320:-	tt5926828:9.0	tt5946884:-	tt5965972:-	tt5965974:-	tt6011174:-	tt6011178:-	tt6035252:-	
3	tt6074620:-	tt6280104:-	tt6280116:-	tt6280118:-	tt6288950:-	tt6315164:-	tt6346998:-	tt6383064:-	tt6383070:-	tt6405136:-	tt6429092:-	tt6467140:-	tt6467148:-	
4	tt6492544:-	tt6672574:-	tt6684544:-	tt6684548:-	tt6744868:-	tt6744870:-	tt6850942:-	tt6850948:-	tt6850954:-	tt6902854:-	tt6902868:-	tt6988642:-	tt6988646:-	
5	tt6988650:-	tt6988652:-	tt7108266:-	tt7108276:-	tt7134412:-	tt7316754:-	tt7316758:-	tt7316760:-	tt7316764:-	tt7316766:-	tt7316770:-	tt7316772:-	tt7316774:-	
