\N	tt12745476:7.7	tt12745506:8.2	tt12745514:8.2	tt12745536:8.0	tt12745558:7.8	
1	tt3266890:7.8	tt3270290:7.9	tt3270302:7.8	tt3278282:7.2	tt3311228:8.0	tt3328026:8.1	tt3343348:8.7	
2	tt4153226:7.9	tt4171268:8.2	tt4190380:8.1	tt4205200:8.1	tt4226868:8.2	tt4240902:8.3	
3	tt5192106:8.4	tt5208098:8.0	tt5224414:8.4	tt5228200:8.0	tt5230382:7.8	tt5230384:8.1	
