1	tt0799142:-	tt1011513:-	tt1299014:-	tt1299015:-	tt1299017:-	tt1299020:-	tt1299021:-	tt1299030:-	tt1299035:-	tt1299036:-	tt1299038:-	tt1299041:-	tt1299585:-	tt4156224:-	
63	tt3568014:-	tt3748450:-	tt5222896:-	tt5726586:-	tt5726590:-	tt5726592:-	tt5726600:-	tt5726624:-	tt5726642:-	tt5726654:-	tt5726660:-	tt5726666:-	tt5726670:-	
66	tt3785326:-	tt3789794:-	tt5730034:-	tt5730036:-	tt5730040:-	tt5730044:-	tt5730050:-	tt5730054:-	tt5730056:-	tt5730062:-	tt5730066:-	tt5730070:-	tt5730074:-	
65	tt3789766:-	tt3789810:-	tt4450064:-	tt5222912:-	tt5729984:-	tt5729992:-	tt5729998:-	tt5730002:-	tt5730006:-	tt5730008:-	tt5730012:-	tt5730014:-	tt5730018:-	
67	tt3789800:-	tt3798468:-	tt5222906:-	tt5730078:-	tt5730080:-	tt5730086:-	tt5730096:-	tt5730098:-	tt5730104:-	tt5730108:-	tt5730110:-	tt5730120:-	tt5730122:-	
69	tt4004694:-	tt4183134:-	tt5222818:-	tt5730796:-	tt5730800:-	tt5730808:-	tt5730810:-	tt5730814:-	tt5730818:-	tt5730822:-	tt5730826:-	tt5730828:-	
68	tt4004702:-	tt5730130:-	tt5730132:-	tt5730140:-	tt5730144:-	tt5730146:-	tt5730152:-	tt5730156:-	tt5730158:-	tt5730168:-	tt5730172:-	tt5730174:-	tt5730180:-	
70	tt4004704:-	tt4183124:-	tt5730840:-	tt5730846:-	tt5730848:-	tt5730852:-	tt5730860:-	tt5730864:-	tt5730868:-	tt5730870:-	tt5730876:-	tt5730884:-	tt5730892:-	
74	tt4159226:-	tt5222826:-	tt5731126:-	tt5731130:-	tt5731134:-	tt5731136:-	tt5731138:-	tt5731140:-	tt5731142:-	tt5731146:-	tt5731148:-	tt5731152:-	tt5731154:-	
73	tt4183072:-	tt4389066:-	tt5731072:-	tt5731078:-	tt5731082:-	tt5731086:-	tt5731092:-	tt5731096:-	tt5731100:-	tt5731108:-	tt5731112:-	tt5731116:-	tt5731122:-	
72	tt4183094:-	tt5730992:-	tt5730998:-	tt5731002:-	tt5731024:-	tt5731030:-	tt5731032:-	tt5731038:-	tt5731040:-	tt5731042:-	tt5731046:-	tt5731050:-	tt5731056:-	
71	tt4183104:-	tt4183110:-	tt5222832:-	tt5730908:-	tt5730912:-	tt5730916:-	tt5730920:-	tt5730934:-	tt5730942:-	tt5730956:-	tt5730966:-	tt5730972:-	tt5730978:-	
75	tt4388682:-	tt5733868:-	tt5733874:-	tt5733882:-	tt5733890:-	tt5733914:-	tt5733924:-	tt5733926:-	tt5733928:-	tt5733934:-	tt5733938:-	tt5733940:-	
76	tt4412802:-	tt5734600:-	tt5734602:-	tt5734604:-	tt5734608:-	tt5734612:-	tt5734614:-	tt5734616:-	tt5734624:-	tt5734630:-	tt5734636:-	tt5734638:-	tt5734642:-	
77	tt4429398:-	tt4557290:-	tt5092424:-	tt5736560:-	tt5736564:-	tt5736570:-	tt5736580:-	tt5736586:-	tt5736602:-	tt5736620:-	tt5736626:-	tt5736632:-	tt5736638:-	
83	tt4919698:-	tt5739630:-	tt5739644:-	tt5739648:-	tt5739652:-	tt5739656:-	tt5739666:-	tt5739670:-	tt5739674:-	tt5739688:-	tt5739692:-	tt5739700:-	tt5739736:-	
85	tt5078288:-	tt5746616:-	tt5746630:-	tt5746702:-	tt5746718:-	tt5746728:-	tt5746760:-	tt5746786:-	tt5746794:-	tt5746824:-	tt5746828:-	tt5746840:-	
86	tt5311454:-	tt5746894:-	tt5746900:-	tt5746914:-	tt5746926:-	tt5746936:-	tt5746942:-	tt5746948:-	tt5746950:-	tt5746952:-	tt5746958:-	tt5746964:-	tt5746970:-	
88	tt5363384:-	tt5540320:-	tt5540326:-	tt5540330:-	tt5747076:-	tt5747080:-	tt5747092:-	tt5747102:-	tt5747108:-	tt5747132:-	tt5747152:-	
89	tt5456028:-	tt5747188:-	tt5747190:-	tt5747192:-	tt5747194:-	tt5747200:-	tt5747208:-	tt5747210:-	tt5747214:-	tt5747226:-	tt5747228:-	tt5747230:-	tt5747232:-	
90	tt5477152:-	tt5483850:-	tt5747352:-	tt5747358:-	tt5747370:-	tt5747376:-	tt5747380:-	tt5747382:-	tt5747384:-	tt5747394:-	tt5747402:-	tt5747406:-	tt5747410:-	
87	tt5567682:-	tt5746976:-	tt5746980:-	tt5746982:-	tt5746990:-	tt5746998:-	tt5747012:-	tt5747042:-	tt5747046:-	tt5747048:-	tt5747050:-	tt5747060:-	tt5747064:-	
91	tt5571112:-	tt5957258:-	tt6354982:-	tt6819986:-	tt7357112:-	
93	tt5689924:-	tt5736070:-	tt5830898:-	tt5868394:-	tt6354172:-	tt7054940:-	
78	tt5736644:-	tt5736652:-	tt5736656:-	tt5736664:-	tt5736708:-	tt5736710:-	tt5736712:-	tt5736718:-	tt5736724:-	tt5736732:-	tt5736734:-	tt5736930:-	tt5736936:-	
79	tt5739108:-	tt5739118:-	tt5739124:-	tt5739132:-	tt5739134:-	tt5739138:-	tt5739148:-	tt5739150:-	tt5739162:-	tt5739172:-	tt5739178:-	tt5739180:-	tt5739182:-	
80	tt5739222:-	tt5739228:-	tt5739242:-	tt5739250:-	tt5739258:-	tt5739270:-	tt5739272:-	tt5739280:-	tt5739282:-	tt5739284:-	tt5739290:-	tt5739298:-	tt5739304:-	
81	tt5739312:-	tt5739318:-	tt5739324:-	tt5739330:-	tt5739334:-	tt5739338:-	tt5739342:-	tt5739356:-	tt5739358:-	tt5739362:-	tt5739372:-	tt5739378:-	tt5739386:-	
82	tt5739394:-	tt5739400:-	tt5739412:-	tt5739426:-	tt5739432:-	tt5739440:-	tt5739444:-	tt5739446:-	tt5739450:-	tt5739454:-	tt5739456:-	tt5739460:-	tt5739462:-	
84	tt5739838:-	tt5739850:-	tt5739854:-	tt5739858:-	tt5739866:-	tt5739872:-	tt5739882:-	tt5739894:-	tt5739924:-	tt5739928:-	tt5739934:-	tt5739936:-	tt5739944:-	
95	tt5920628:-	tt5942982:-	tt6020656:-	tt6099410:-	tt6134446:-	tt6354972:-	tt6924680:-	
97	tt6063388:-	tt6069712:-	tt6082052:-	tt6140934:-	tt6185974:-	tt6422020:-	tt7357146:-	tt7710666:-	tt7710688:-	tt7710736:-	tt7710756:-	
99	tt6132008:-	tt6150378:-	tt6354974:-	
98	tt6159748:-	tt6171684:-	tt6185934:-	tt6185984:-	tt6213632:-	tt6268614:-	tt6924670:-	tt6924674:-	
102	tt6410398:-	tt6628974:-	tt6920056:-	
105	tt6810598:-	tt6826402:-	tt6852060:-	tt8427198:-	
104	tt6820732:-	tt6825350:-	tt6827268:-	tt6827280:-	tt6920094:-	tt6924644:-	tt6984420:-	tt6984422:-	
106	tt6919952:-	tt6919986:-	tt6927066:-	tt7085710:-	tt7368226:-	
108	tt7173136:-	tt7258892:-	tt7368136:-	
109	tt7258894:-	tt7295558:-	tt7368148:-	tt7368160:-	tt7368164:-	tt7488838:-	
107	tt7288276:-	
110	tt7348190:-	tt7368138:-	tt7368146:-	tt7900740:-	tt7900818:-	tt7900824:-	tt7900830:-	tt7900838:-	tt7900846:-	tt7900858:-	tt7900870:-	tt7900876:-	tt7900900:-	
111	tt7368010:-	tt7368140:-	tt7471644:-	tt7488800:-	tt7488820:-	tt7713548:-	tt8052014:-	tt8890122:-	
112	tt7488674:-	tt7488684:-	tt7523898:-	tt7543938:-	tt8434814:-	tt8884434:-	tt8884698:-	tt8884716:-	tt8885022:-	tt8885028:-	tt8885032:-	tt8885038:-	tt8885048:-	
116	tt7702776:-	tt7702814:-	tt7702818:-	tt7702822:-	tt7814120:-	tt7891822:-	tt7891950:-	tt7900578:-	tt7900592:-	tt7900612:-	tt8381134:-	tt8689484:-	
115	tt7702852:-	tt7702860:-	tt7702880:-	tt7702900:-	tt7713516:-	tt7713532:-	tt7717654:-	tt7891586:-	tt7931992:-	tt8104336:-	tt8690154:-	tt8690190:-	tt8690212:-	
114	tt7717638:-	tt7891744:-	tt7891966:-	tt7930392:-	tt7951084:-	tt8028200:-	tt8052032:-	tt8125124:-	tt8228050:-	tt8254346:-	tt8323920:-	tt8862898:-	tt8862902:-	
117	tt7813214:-	tt7813980:-	tt7891482:-	tt7891704:-	tt7891806:-	tt7895494:-	tt7930434:-	tt7930506:-	tt7951062:-	tt7951098:-	tt8052056:-	tt8052068:-	tt8291940:-	
113	tt7814014:-	tt7891674:-	tt8201812:-	tt8434828:-	tt8677128:-	tt8870796:-	tt8870820:-	tt8870866:-	tt8870904:-	tt8870916:-	tt8870940:-	tt8870962:-	tt8870988:-	
118	tt7891466:-	tt7891834:-	tt7891880:-	tt7951054:-	tt7992060:-	tt7992070:-	tt7992080:-	tt8028212:-	tt8052040:-	tt8097246:-	tt8161632:-	tt8291970:-	tt8732268:-	
119	tt7930468:-	tt7992050:-	tt8028186:-	tt8097194:-	tt8097242:-	tt8097264:-	tt8125106:-	tt8125164:-	tt8161624:-	tt8161666:-	tt8227760:-	tt8291920:-	tt8323924:-	
120	tt8028228:-	tt8097210:-	tt8125096:-	tt8161646:-	tt8201758:-	tt8201774:-	tt8254462:-	tt8291952:-	tt8323906:-	tt8351566:-	tt8409444:-	tt8409450:-	tt8471874:-	
121	tt8125148:-	tt8161628:-	tt8201768:-	tt8201784:-	tt8254500:-	tt8323852:-	tt8323912:-	tt8351556:-	tt8409432:-	tt8443034:-	tt8471802:-	tt8503454:-	tt8503458:-	
123	tt8227758:-	tt8477670:-	tt8503450:-	tt8642680:-	tt8642776:-	tt8677160:-	tt8702974:-	tt8768940:-	tt8831142:-	tt8862832:-	tt8893230:-	tt8913652:-	tt8933160:-	
122	tt8227842:-	tt8228056:-	tt8291930:-	tt8323904:-	tt8351492:-	tt8351548:-	tt8351562:-	tt8381152:-	tt8381158:-	tt8443014:-	tt8443040:-	tt8577058:-	tt8642802:-	
124	tt8254508:-	tt8254510:-	tt8381122:-	tt8471534:-	tt8471768:-	tt8540038:-	tt8577052:-	tt8598614:-	tt8598632:-	tt8677152:-	tt8702990:-	tt8796966:-	tt9061954:-	
125	tt8409434:-	tt8443024:-	tt8503442:-	tt8539992:-	tt8574556:-	tt8574570:-	tt8598624:-	tt8642688:-	tt8702980:-	tt8732278:-	tt8967748:-	tt9005132:-	tt9084922:-	
126	tt8539982:-	tt8598618:-	tt8677158:-	tt8768914:-	tt8831156:-	tt8831160:-	tt8862838:-	tt8862854:-	tt8893184:-	tt8933168:-	tt8967750:-	tt9005086:-	tt9189466:-	
127	tt8677144:-	tt8732324:-	tt8732330:-	tt8796916:-	tt8796924:-	tt8796952:-	tt9005102:-	tt9033162:-	tt9033174:-	tt9125506:-	tt9160070:-	tt9266060:-	tt9364734:-	
128	tt8702968:-	tt8702984:-	tt8768354:-	tt8768694:-	tt8831148:-	tt8933150:-	tt8967746:-	tt9005110:-	tt9005124:-	tt9033168:-	tt9189468:-	tt9233922:-	tt9402938:-	
129	tt8831152:-	tt8862844:-	tt8893220:-	tt8893240:-	tt8967756:-	tt9033144:-	tt9061962:-	tt9062026:-	tt9084910:-	tt9125516:-	tt9160064:-	tt9335180:-	tt9552342:-	
130	tt8862820:-	tt8893212:-	tt8933144:-	tt9033176:-	tt9084900:-	tt9084906:-	tt9125512:-	tt9233914:-	tt9233930:-	tt9233932:-	tt9266046:-	tt9298088:-	tt9674978:-	
131	tt8933170:-	tt8967760:-	tt9062020:-	tt9125518:-	tt9125522:-	tt9160072:-	tt9233910:-	tt9298064:-	tt9298066:-	tt9298076:-	tt9338754:-	tt9364680:-	tt9441242:-	
132	tt9062030:-	tt9160078:-	tt9160080:-	tt9266058:-	tt9298092:-	tt9364648:-	tt9364750:-	tt9402934:-	tt9441214:-	tt9441224:-	tt9543846:-	tt9552830:-	tt9591892:-	
133	tt9084904:-	tt9189460:-	tt9266066:-	tt9298070:-	tt9338786:-	tt9338858:-	tt9402908:-	tt9402910:-	tt9402916:-	tt9441248:-	tt9441250:-	tt9482336:-	tt9543820:-	
134	tt9266054:-	tt9298082:-	tt9337768:-	tt9364722:-	tt9482348:-	tt9543786:-	tt9543802:-	tt9543830:-	tt9552814:-	tt9591818:-	tt9628308:-	tt9628346:-	tt9675002:-	
