2	tt0658961:7.6	tt1017602:-	tt1017606:7.4	tt1017608:-	tt1017609:-	tt1017610:-	
1	tt0658962:7.0	tt1017601:-	tt1017603:-	tt1017604:-	tt1017605:-	tt1017607:-	tt1017611:7.4	tt1017612:-	
14	tt11525470:-	tt11525476:-	tt11525478:-	tt11525480:-	tt11525482:-	tt11525486:-	
4	tt1262996:-	tt1262997:-	tt1263002:-	tt1263005:-	tt1575320:-	tt1575321:-	
3	tt1262998:-	tt1262999:-	tt1263000:7.2	tt1263001:7.2	tt1263003:-	tt1263004:-	
15	tt12691686:-	tt12691694:-	tt12691710:-	
5	tt1575319:-	tt1575322:-	tt1575323:-	tt4722438:-	tt4722440:7.2	tt4722446:-	
7	tt2360519:-	tt4722472:-	tt4722478:-	tt4722480:-	tt4722482:-	tt4722484:-	tt4722488:-	tt4722492:-	
6	tt4722450:-	tt4722458:-	tt4722462:-	tt4722464:-	tt4722466:-	tt4722468:-	tt4722470:-	
8	tt4722498:-	tt4722500:-	tt4722502:-	tt4722504:-	tt4722506:-	tt4722512:-	tt4722514:7.6	tt4722518:8.0	
9	tt4722520:-	tt4722522:-	tt4722524:-	tt4722526:7.6	tt4722530:-	tt4722532:-	
10	tt5330360:-	tt5330362:-	tt5330364:-	tt5330368:-	tt5330370:-	tt5330372:-	
11	tt6253820:-	tt6423688:-	tt6423692:-	tt6423694:-	tt6423716:-	tt6423720:-	
12	tt7754672:7.0	tt7754674:7.4	tt7754684:-	tt7754702:-	tt7754704:7.4	tt7754710:7.6	
13	tt9401544:-	tt9401562:-	tt9401580:-	tt9401594:-	tt9401622:-	tt9401646:-	
