1	tt0517812:-	tt0517813:9.1	tt0517814:9.0	tt0517815:-	tt0517816:-	tt0517817:-	tt0517818:-	
2	tt0517819:-	tt0517820:-	tt0517821:-	tt1089120:-	tt14562918:-	tt14562962:-	
3	tt0517822:8.9	tt0517823:9.2	tt1587476:-	tt1587477:-	tt1587478:-	tt1587479:-	
