3	tt11628864:7.9	tt11628868:8.2	tt11628872:7.8	tt11628874:8.3	tt9877850:7.7	
4	tt13214384:-	
1	tt7648850:7.2	tt7648858:7.6	tt7648862:8.1	tt7648868:8.2	
2	tt9135350:7.9	tt9135358:8.3	tt9135362:7.4	tt9135364:7.7	
