3	tt1082684:-	tt1082685:-	tt1082686:-	tt1296482:-	tt1296483:-	tt1296484:-	tt1296485:-	tt1296486:-	tt1296487:-	tt1296488:-	tt1296490:-	tt1296491:-	tt1296492:-	tt1296493:-	tt1296494:-	tt1296495:-	tt1296496:-	tt1296497:-	tt1296498:-	tt1296499:-	tt1296500:-	tt1296501:-	tt1296502:-	tt1296503:5.5	tt1296504:-	tt1296505:-	tt1296506:-	
1	tt1106194:-	tt1174350:-	tt1174351:-	tt1175900:-	tt1244958:-	tt1244959:-	tt1246967:-	tt1288190:-	tt1288191:-	tt1288192:-	tt1288193:-	tt1288194:-	tt1292320:-	tt1292321:-	tt1292322:-	tt1292323:-	tt1292324:-	tt1292325:-	tt1292326:-	tt1292327:-	tt1292328:-	tt1292329:-	tt1292330:-	tt1292331:-	tt1292332:-	tt1292333:-	
2	tt1293961:-	tt1293962:-	tt1293963:-	tt1293964:-	tt1293965:-	tt1293966:-	tt1293967:-	tt1293968:-	tt1293969:-	tt1293970:-	tt1293971:-	tt1293972:-	tt1293973:-	tt1293974:-	tt1293975:-	tt1293976:-	tt1293977:-	tt1293978:-	tt1293979:-	tt1293980:-	tt1293981:-	tt1293982:-	tt1293983:-	tt1293984:-	tt1293985:-	tt1294897:-	
