1	tt10959298:-	tt10959300:-	tt10959302:-	tt10959304:-	tt10959306:-	tt10981788:-	tt10981790:-	
2	tt12731294:-	tt12731298:-	tt12736018:-	tt12736184:-	tt12736186:-	tt12736188:-	tt12736190:-	tt12736192:-	
3	tt12736236:-	tt12736238:-	tt12736240:-	tt12776036:-	tt12776038:-	tt12776040:-	tt12776042:-	tt12776044:-	
