11	tt10262472:-	tt10262474:-	tt10262476:-	tt10262478:-	tt10262480:-	tt10262482:-	tt10262484:-	tt10262486:-	tt10262488:-	tt9793688:-	
1	tt3989376:-	tt3989382:-	tt3989386:-	tt3989390:-	tt3991034:-	tt3991038:-	tt3991042:-	tt3991046:-	tt3991048:-	tt3991050:-	
2	tt3992156:-	tt3992158:-	tt3992160:-	tt3992196:-	tt3993832:-	tt3993834:-	tt3993838:-	tt3993840:-	tt3993844:-	tt3993848:-	
4	tt3998162:-	tt3998166:-	tt3998168:-	tt3998170:-	tt4007018:-	tt4007026:-	tt4007030:-	tt4007034:-	tt4007040:-	tt4007042:-	
3	tt4012510:-	tt4012540:-	tt4012546:-	tt4012548:-	tt4012554:-	tt4012556:-	tt4012562:-	tt4012570:-	tt4012572:-	tt4012576:-	
5	tt4012582:-	tt4012588:-	tt4012592:-	tt4012596:-	tt4012606:-	tt4012610:-	tt4012612:-	tt4012620:-	tt4012622:-	tt4012626:-	
6	tt4018168:-	tt4018174:-	tt4018178:-	tt4018180:-	tt4018198:-	tt4018200:-	tt4018206:-	tt4018208:-	tt4018214:-	tt4018216:-	
7	tt4558148:-	tt4558150:-	tt4558152:-	tt4558154:-	tt4558156:-	tt4558158:-	tt4558160:-	tt4558162:-	tt4558164:-	tt4558166:-	
8	tt5538816:-	tt5545032:-	tt5545034:-	tt5545036:-	tt5545038:-	tt5545040:-	tt5545042:-	tt5545044:-	tt5545046:-	tt5545048:-	
9	tt6405542:-	tt6623630:-	tt6623632:-	tt6623634:-	tt6623646:-	tt6623648:-	tt6623652:-	tt6623656:-	tt6623660:-	tt6623666:-	
10	tt8019422:-	tt8121216:-	tt8121218:-	tt8121222:-	tt8159642:-	tt8159644:-	tt8159650:-	tt8159652:-	tt8159654:-	
