1	tt0652225:-	tt0652226:-	tt0652227:-	tt0652228:-	tt0652229:-	tt0652230:-	
2	tt0652231:-	tt0652232:-	tt0652233:-	tt0652234:-	tt0652235:-	tt0652236:-	tt0927665:-	
3	tt0652237:-	tt0652238:-	tt0652239:-	tt0652240:-	tt0652241:-	tt0652242:-	tt0927671:-	
4	tt0652243:-	tt0652244:-	tt0926512:-	
5	tt0652245:-	tt0927666:-	tt0927667:-	tt0927668:-	tt0927669:-	tt0927670:-	tt6719152:-	
