1	tt0042816:-	tt0125566:-	tt0294267:-	tt0479629:-	tt0902991:-	tt0903027:-	tt1126504:-	tt1229373:-	tt1250300:-	tt1261451:-	tt1267839:-	tt1268325:-	tt1268327:-	tt1268328:-	tt1268329:-	tt1269037:-	tt1269038:-	tt1269039:-	tt1269040:-	tt1269041:-	tt1269042:-	tt1269043:-	tt1269044:-	tt1269045:-	tt1269046:6.8	tt1269047:-	tt1269048:-	tt1269049:-	tt1269050:-	tt1269051:-	tt1269052:-	tt1269053:-	tt1269394:-	tt1269395:-	tt1269397:-	tt1269612:-	tt1270148:-	tt1270315:-	tt1272054:-	tt1272055:-	tt1272056:-	tt1272057:-	tt1272058:-	tt1272059:-	tt1272060:-	tt1272061:-	tt1272062:-	tt1272063:-	tt1272064:8.3	tt1272065:-	tt1272066:-	tt1272067:-	tt1272068:-	
\N	tt0042889:-	tt3719640:-	tt5509338:-	tt5522846:-	tt5525190:-	tt5527454:-	tt5533354:-	tt5535698:-	tt5540844:-	tt5540950:-	tt5553388:-	tt5554506:-	tt5554628:-	tt9464408:-	
2	tt0043631:-	tt0043693:-	tt0336351:-	tt0479632:-	tt1117716:-	tt1145518:-	tt1155586:-	tt1269755:-	tt1269756:-	tt1269757:-	tt1270146:-	tt1270147:-	tt1270150:-	tt1270151:-	tt1270152:-	tt1270153:-	tt1270154:-	tt1270310:-	tt1270311:-	tt1270312:-	tt1270313:-	tt1270314:-	tt1270316:-	tt1270317:-	tt1270318:-	tt1270319:-	tt1270321:-	tt1270322:-	tt1270323:-	tt1270324:-	tt1270325:-	tt1270326:-	tt1270327:-	tt1270328:-	tt1270329:-	tt1270330:-	tt1270331:-	tt1270332:-	tt1272071:-	tt1272072:-	tt1272073:-	tt1272074:-	tt1272075:-	tt1272076:-	tt1272077:-	tt1272078:-	tt1272079:-	tt1272080:-	tt1272081:-	tt1272082:-	tt1272083:-	tt1290172:-	
3	tt0043710:-	tt0044901:-	tt0125532:-	tt0264183:-	tt0336050:-	tt0346863:-	tt0443433:-	tt1205508:-	tt1250301:-	tt1260002:-	tt1269396:-	tt1272528:-	tt1272529:-	tt1272530:-	tt1272531:-	tt1272536:-	tt1272537:-	tt1272539:-	tt1272540:-	tt1272541:-	tt1272544:-	tt1272545:-	tt1272549:-	tt1272551:-	tt1272555:-	tt1272566:-	tt1272570:-	tt1272571:-	tt1274447:-	tt1274448:-	tt1291738:-	tt1291739:-	tt1291740:-	tt1291741:-	tt1291742:-	tt1291743:-	tt1291744:-	tt1291745:-	tt1291746:-	tt1291747:-	tt1291748:-	tt1291749:-	tt1291750:-	tt1291751:-	tt1291752:-	tt1291753:-	tt1291754:-	tt1291755:-	tt1291756:-	tt1291757:-	tt1292733:-	tt1292734:-	
4	tt0045519:-	tt0046135:-	tt0335881:6.8	tt0337041:-	tt0337104:-	tt0457264:-	tt0497880:-	tt0497921:-	tt1122068:-	tt1207140:-	tt1272534:-	tt1272547:-	tt1272562:-	tt1272564:-	tt1272567:-	tt1272572:-	tt1272574:-	tt1295205:-	tt1295206:-	tt1295207:-	tt1295208:-	tt1295209:-	tt1295210:-	tt1295211:-	tt1295212:-	tt1295213:-	tt1295214:-	tt1295215:-	tt1295216:-	tt1295217:-	tt1295218:-	tt1295219:-	tt1295220:-	tt1295221:-	tt1295222:-	tt1295223:-	tt1295224:-	tt1295225:-	tt1295226:-	tt1295227:-	tt1295228:-	tt1295229:-	tt1295230:-	tt1295231:-	tt1295232:-	tt1295233:-	tt1295234:-	tt1295235:-	tt1295236:-	tt1295972:-	tt1296932:-	tt1296933:-	
5	tt0046864:6.4	tt0125561:-	tt0174444:7.8	tt0336008:-	tt0337322:-	tt0496897:-	tt1272533:-	tt1272535:-	tt1272538:-	tt1272546:-	tt1272548:-	tt1272550:-	tt1272553:-	tt1272559:-	tt1272560:-	tt1272561:-	tt1272573:-	tt1288705:-	tt1298071:-	tt1298072:-	tt1298073:-	tt1298074:-	tt1298075:-	tt1298076:-	tt1298077:-	tt1298078:-	tt1298079:-	tt1298080:-	tt1298081:-	tt1298082:-	tt1298083:-	tt1298084:-	tt1298085:-	tt1298086:-	tt1298087:-	tt1298088:-	tt1298089:-	tt1298090:-	tt1298091:-	tt1298092:-	tt1298093:-	tt1298094:-	tt1298095:-	tt1298096:-	tt1298097:-	tt1298098:-	tt1298099:-	tt1298100:-	tt1298101:-	tt1298102:-	tt1298660:-	tt1298661:-	
6	tt0047961:8.3	tt0048371:-	tt0048883:-	tt0125478:-	tt0192758:-	tt0336864:7.7	tt0905830:-	tt1107629:-	tt1119821:-	tt1122067:-	tt1164734:-	tt1272543:-	tt1272552:-	tt1272554:-	tt1272557:-	tt1272558:-	tt1272563:-	tt1272565:-	tt1272569:-	tt1274279:-	tt1301340:-	tt1301341:-	tt1301342:-	tt1301343:-	tt1301344:-	tt1301345:-	tt1301346:-	tt1301347:-	tt1301348:-	tt1301349:-	tt1301350:-	tt1301351:-	tt1301352:-	tt1301353:-	tt1301354:-	tt1301355:-	tt1301356:-	tt1301357:-	tt1301358:-	tt1301359:-	tt1301360:-	tt1301361:-	tt1301362:-	tt1301363:-	tt1301364:-	tt1301365:-	tt1301366:-	tt1301367:-	tt1301368:-	tt1301369:-	tt1301370:-	tt1302082:-	
9	tt0051929:-	tt0263797:-	tt0497910:-	tt1025208:-	tt1025209:-	tt1025210:-	tt1025211:-	tt1119810:-	tt1119817:-	tt1119829:-	tt1124484:-	tt1207130:-	tt1207131:-	tt1207132:-	tt1207133:-	tt1207134:-	tt1207135:-	tt1207136:-	tt1207137:-	tt1207138:-	tt1207139:-	tt1207141:-	tt1207142:-	tt1207143:-	tt1207144:-	tt1207145:-	tt1207146:-	tt1207147:-	tt1207148:-	tt1207149:-	tt1207150:-	tt1208050:-	tt1208051:-	tt1208052:10.0	tt1214167:-	tt1215212:-	tt1215214:-	tt1272937:-	tt1303947:-	
7	tt0125544:-	tt0888488:-	tt0888533:-	tt1117702:-	tt1117703:-	tt1117704:-	tt1117705:-	tt1117706:-	tt1117707:6.2	tt1117709:-	tt1117710:-	tt1117713:-	tt1272568:-	tt1302224:-	tt1302227:-	tt1302229:-	tt1302231:-	tt1302233:-	tt1302234:-	tt1302236:-	tt1302238:-	tt1302239:-	tt1302243:-	tt1302244:-	tt1302245:-	tt1302246:-	tt1302248:-	tt1302251:-	tt1302252:-	tt1302254:-	tt1302255:-	tt1302257:-	tt1302259:-	tt1302260:-	tt1302261:-	tt1302262:-	tt1302263:-	tt1302280:-	tt1302282:-	tt1302288:-	tt1302290:-	tt1302292:-	tt1302294:-	tt1302296:-	tt1302298:-	tt1302300:-	tt1302301:-	tt1302302:-	tt1302306:-	tt1302307:-	tt1303938:-	tt1303939:-	tt1303940:-	
8	tt0125567:-	tt0147814:-	tt0336494:-	tt0499648:-	tt1117708:-	tt1117711:-	tt1117712:-	tt1117714:-	tt1119798:-	tt1119809:-	tt1119827:-	tt1272556:-	tt1302225:-	tt1302226:-	tt1302228:-	tt1302230:-	tt1302232:-	tt1302235:-	tt1302237:-	tt1302240:-	tt1302241:-	tt1302242:-	tt1302247:-	tt1302250:-	tt1302253:-	tt1302256:-	tt1302258:-	tt1302276:-	tt1302277:-	tt1302278:-	tt1302279:-	tt1302281:-	tt1302283:-	tt1302284:-	tt1302285:-	tt1302286:-	tt1302287:-	tt1302289:-	tt1302291:-	tt1302293:-	tt1302295:-	tt1302297:-	tt1302299:-	tt1302303:-	tt1302304:-	tt1302305:-	tt1302308:-	tt1303942:-	tt1303943:-	tt1303944:-	tt1303945:-	
10	tt0147882:-	tt0402584:-	tt0862750:-	tt1025212:-	tt1025213:-	tt1025214:-	tt1025215:-	tt1025216:-	tt1119793:-	tt1119794:-	tt1119795:-	tt1119796:-	tt1119797:-	tt1119799:-	tt1119800:-	tt1119801:-	tt1119802:-	tt1119804:-	tt1119805:-	tt1119806:-	tt1119807:-	tt1119808:-	tt1119811:-	tt1119812:-	tt1119813:-	tt1119814:-	tt1119815:-	tt1119816:-	tt1119822:-	tt1119823:-	tt1119824:-	tt1119825:-	tt1119826:-	tt1119828:-	tt1119830:-	tt1119831:-	tt1119832:-	tt1122060:-	tt1122061:-	tt1122062:-	tt1122063:-	tt1122064:-	tt1122065:-	tt1122066:-	tt1122069:-	tt1122070:-	tt1122071:-	tt1122072:-	tt1122073:-	tt1122074:-	tt1272069:-	tt1272070:-	
