3	tt10082912:8.8	tt7538006:8.8	tt7561332:8.1	tt7701138:8.7	tt7776040:8.5	tt7962574:9.3	tt8160046:8.7	tt8219578:7.3	tt8441874:9.2	tt8835092:7.9	tt9595900:7.6	
4	tt10297242:8.9	tt10394850:9.1	tt10415134:9.0	tt10415168:8.8	tt10415256:8.8	tt10415258:8.7	tt10415362:9.6	tt10415368:8.2	
5	tt12236224:9.0	tt12236232:8.8	tt12236246:9.8	tt12236250:9.4	tt12245566:-	tt12245578:-	tt12245580:-	
1	tt6738926:8.5	tt6739514:9.2	tt6760370:8.1	tt6831800:8.5	tt6837170:9.1	tt6859922:8.6	
2	tt6874378:8.7	tt7083498:7.3	tt7188098:8.4	tt7325768:7.7	tt7380362:8.2	tt7417952:8.9	
