5	tt0697898:-	tt0697905:-	tt0697908:7.8	tt0697918:7.6	tt0697927:-	tt0697929:8.0	tt0697931:-	tt0697934:-	tt0785919:-	tt0785920:7.2	tt0785921:8.0	tt0785924:7.6	tt0785925:-	
2	tt0697899:7.8	tt0697903:8.3	tt0697911:7.8	tt0697913:8.4	tt0697916:8.4	tt0697919:-	tt0697924:-	tt0697925:8.4	tt0697926:8.2	tt0697930:8.6	tt0697935:8.0	tt0697938:-	
3	tt0697900:7.6	tt0697901:-	tt0697902:-	tt0697904:-	tt0697906:-	tt0697910:-	tt0697915:-	tt0697920:-	tt0697922:-	tt0697923:-	tt0697937:8.6	tt0697939:-	
4	tt0697907:-	tt0697909:-	tt0697921:-	tt0697928:7.4	tt0697932:7.6	tt0697933:-	tt0697936:7.7	tt0697940:-	tt0697941:7.2	tt0785918:-	tt0785922:7.6	tt0785923:7.8	
1	tt0697912:7.9	tt0697914:8.3	tt0697917:7.8	
