1	tt1073080:7.0	tt1099859:7.2	tt1099860:7.3	tt1099861:7.2	tt1099862:7.4	tt1099863:7.4	tt1099864:7.2	tt1099865:7.5	tt1099866:7.6	tt1099867:7.0	tt1099868:7.1	tt1099869:7.5	tt1099870:7.2	tt1139076:7.5	
2	tt1136679:6.8	tt1139077:7.6	tt1146903:7.5	tt1146904:7.7	tt1146905:7.4	tt1150919:7.9	tt1158211:7.9	tt1163727:7.5	tt1172943:7.6	tt1179013:8.0	tt1179014:7.8	tt1180570:7.6	tt1184930:8.1	
3	tt2098597:8.5	tt2098598:8.3	tt2100367:7.4	tt2100368:8.4	tt2112086:7.0	tt2112860:7.6	tt2119357:7.5	tt2119358:7.7	tt2119359:8.0	tt2119361:7.6	tt2119362:8.1	tt2119363:6.2	tt2120007:8.4	
4	tt2472702:7.9	tt2546010:7.3	tt2569644:7.0	tt2581900:7.1	tt2581910:6.8	tt2581914:6.7	tt2581918:7.1	tt2581920:7.3	tt2581924:7.6	tt2581926:6.6	tt2581932:7.1	tt2581936:7.8	tt2581938:7.5	
5	tt3131366:8.1	tt3463020:8.4	tt3463024:7.9	tt3463026:7.1	tt3463030:6.7	tt3463032:6.2	tt3463036:7.0	tt3463042:7.4	tt3463046:6.9	tt3463052:7.1	tt3504078:7.1	tt3504082:8.0	tt3504084:8.1	
