1	tt2788706:9.4	tt2788722:9.4	tt2788730:9.6	tt2788878:9.5	tt2788890:9.5	tt2788898:9.5	tt2788902:9.4	tt2788906:9.5	tt2788908:9.5	tt2788914:9.6	tt2788918:9.7	tt2788924:9.6	tt2788938:9.7	
2	tt2788948:9.6	tt2788954:9.2	tt2788958:9.3	tt2931244:9.3	tt2931266:9.4	tt2931280:9.4	tt2931294:9.5	tt2931302:9.3	tt2931312:9.3	tt3475658:9.4	tt3475662:9.3	tt3475700:9.4	tt3475708:9.4	tt3475712:9.4	tt3475742:9.4	tt3475744:9.6	tt3475748:9.5	
3	tt3666908:9.4	tt3666914:9.6	tt3666924:9.4	tt3704108:9.4	tt3704154:9.3	tt3704222:9.2	tt3704228:9.3	tt3704230:9.3	tt3704240:9.3	tt3704246:9.3	tt3704252:9.4	tt3704266:9.4	tt3704300:9.3	tt3704308:9.4	tt3704340:9.4	tt3704348:9.4	tt3704360:9.3	tt3704366:9.4	tt3704372:9.4	tt3704380:9.4	tt3704408:9.4	tt3704422:9.3	tt3704452:9.4	tt3704492:9.4	tt3704526:9.5	tt3719674:9.5	tt4700780:9.5	tt4700794:9.6	
4	tt4602028:9.5	tt4602034:9.4	tt4602038:9.4	tt4602094:9.5	tt4602106:9.4	tt4602124:9.3	tt4602132:9.4	tt4602152:9.2	tt4602168:9.5	tt4602188:9.4	tt4602198:9.3	tt4602214:9.6	
5	tt7295292:9.5	tt7302384:9.4	tt7302482:9.3	tt7302658:9.2	tt7302844:9.4	tt7309640:9.3	tt7309652:9.5	tt7309664:9.3	tt7309672:9.3	tt7309682:9.4	tt7309688:9.5	tt7674730:9.6	
