1	tt11578984:-	tt11773660:-	tt11773680:-	
2	tt11773706:-	tt11773710:-	tt11773720:-	
3	tt11773728:-	tt11773736:-	tt11773764:-	tt11817708:-	
4	tt11773774:-	tt11773780:-	tt11773784:-	
5	tt11774152:-	tt11774214:-	tt11774584:-	
6	tt11774592:-	tt11774608:-	tt11774648:-	
7	tt11774660:-	tt11787668:-	tt11787710:-	
8	tt11787756:-	tt11787852:-	tt11787900:-	
9	tt11787916:-	tt11787932:-	tt11787942:-	
10	tt11787952:-	tt11787978:-	tt11788010:-	
11	tt11788028:-	tt11788034:-	tt11788056:-	tt11788098:-	tt11788142:-	tt11788200:-	tt11788220:-	tt11788244:-	tt11788276:-	tt11788292:-	tt11788310:-	tt11788518:-	tt11788582:-	tt11788626:-	tt11788658:-	tt11788692:-	tt11788722:-	tt11788760:-	tt11788838:-	tt11788848:-	tt11788894:-	tt11788926:-	tt11789014:-	
12	tt11789058:-	tt11789430:-	tt11804696:-	tt11804746:-	tt11804776:-	tt11804826:-	tt11804868:-	tt11804934:-	tt11804980:-	tt11805010:-	tt11805052:-	tt11805088:-	tt11805120:-	tt11805170:-	tt11805222:-	tt11805266:-	tt11805274:-	tt11805324:-	tt11805344:-	tt11817178:-	tt11817194:-	tt11817198:-	tt11817312:-	tt11817386:-	tt11817400:-	tt11817450:-	
13	tt11817498:-	tt11817548:-	tt11817692:-	tt11817698:-	tt11817734:-	
