1	tt0634326:-	tt0634327:-	tt0634328:3.0	tt0634331:-	tt0964889:7.3	tt1039313:-	tt1948903:-	tt2614896:-	tt3590984:-	tt4384238:-	tt4385696:8.3	
3	tt0634329:-	tt0883767:-	tt0964888:-	tt1952663:-	tt3319650:5.1	tt4404644:-	tt4404648:-	tt4404652:-	tt4404656:-	tt4404660:-	
2	tt0634330:-	tt1948905:-	tt4397222:-	tt4397224:-	tt4397228:-	tt4397230:-	tt4397232:-	tt4397234:-	tt4397236:-	
4	tt0803869:-	tt1948904:-	tt3249706:-	tt4404666:-	tt4404668:-	tt4404670:-	tt4404680:-	tt4404690:-	tt4404692:-	tt4419290:-	
