6	tt0122166:8.5	tt0532618:8.4	tt0540101:8.4	tt0540103:8.2	tt0540125:7.7	tt0540132:8.3	tt0540139:8.6	tt0540147:8.2	tt0540152:8.1	tt0540155:8.4	tt0540165:8.2	tt0540186:7.8	tt0540187:7.9	tt0540199:8.2	
1	tt0394412:8.2	tt0540098:8.0	tt0540107:8.2	tt0540111:8.3	tt0540122:8.4	tt0540123:7.9	tt0540130:8.0	tt0540136:8.4	tt0540146:8.7	tt0540151:8.1	tt0540169:8.3	tt0540176:8.0	tt0540182:8.0	tt0540184:8.1	tt0540197:7.9	
4	tt0540093:8.3	tt0540094:8.1	tt0540096:8.5	tt0540113:8.4	tt0540114:8.4	tt0540117:8.5	tt0540133:8.4	tt0540135:8.3	tt0540140:8.5	tt0540166:8.7	tt0540178:8.2	tt0540179:8.1	tt0540190:8.5	
2	tt0540095:8.6	tt0540099:8.2	tt0540105:8.2	tt0540106:8.3	tt0540108:8.4	tt0540115:8.5	tt0540124:8.5	tt0540126:8.6	tt0540149:8.3	tt0540154:8.3	tt0540156:8.1	tt0540157:8.2	tt0540159:8.1	tt0540167:8.5	tt0540170:7.8	tt0540173:8.7	tt0540174:8.0	tt0540181:8.5	tt0540183:8.0	tt0540196:8.4	
3	tt0540097:8.1	tt0540104:8.3	tt0540109:8.4	tt0540112:8.6	tt0540116:8.8	tt0540119:8.4	tt0540131:8.4	tt0540138:8.4	tt0540145:8.2	tt0540150:8.6	tt0540158:8.6	tt0540161:9.2	tt0540163:8.7	tt0540168:8.1	tt0540172:8.5	tt0540175:8.5	tt0540188:8.7	tt0540189:8.2	tt0540194:8.6	tt0540198:8.7	
5	tt0540100:8.4	tt0540110:8.8	tt0540118:8.3	tt0540127:8.2	tt0540129:8.1	tt0540141:8.4	tt0540143:8.4	tt0540153:8.5	tt0540162:8.6	tt0540164:8.7	tt0540171:8.6	tt0540180:8.6	tt0540192:8.5	
7	tt0540102:8.1	tt0540120:8.1	tt0540121:8.1	tt0540128:8.0	tt0540134:8.2	tt0540142:7.7	tt0540144:8.3	tt0540148:8.2	tt0540160:8.4	tt0540177:8.5	tt0540185:8.0	tt0540193:8.4	tt0540195:8.4	
