1	tt12820068:-	tt12820076:-	tt12820128:-	tt8547622:-	tt8547628:-	tt8547636:-	tt8547638:-	
\N	tt13104122:-	tt8549834:-	tt8549856:-	tt8549872:-	tt8549898:-	tt8555012:-	tt8582224:-	tt8609148:-	
2	tt14180206:-	tt14182298:-	tt14201980:-	tt14202292:-	tt14202294:-	tt14202296:-	tt14202302:-	tt14202306:-	
