3	tt0873243:6.3	tt0873244:-	tt0890816:-	tt0890864:-	tt0890865:-	tt0890866:-	tt0890867:-	
2	tt0873245:-	tt0890542:-	tt1258492:-	tt1258493:-	tt1258495:-	tt1258496:-	
1	tt0890817:-	tt1258488:-	tt1258489:-	tt1258490:-	tt1258491:-	tt1258494:-	
