1	tt3837230:-	tt3837232:-	tt3837234:-	tt3837242:-	tt3837244:-	tt3837252:-	tt3837258:-	tt3837262:-	tt3837264:-	tt3837268:-	tt3837274:-	tt3837278:-	tt3837282:-	tt3837284:-	tt3837286:-	tt3837288:-	tt3837292:-	tt3837294:-	
2	tt3837298:-	tt3837300:-	tt3837302:-	tt3837306:-	tt3837308:-	tt3837312:-	tt3837316:-	tt3837318:-	tt3837320:-	tt3837322:-	tt3837328:-	tt3837330:-	tt3837332:-	tt3837334:-	tt3837336:-	
3	tt3837954:-	tt3837964:-	tt3837972:-	
8	tt3847080:-	tt3847082:-	tt3847084:-	tt3847090:-	tt3847092:-	tt3847094:-	tt3847096:-	tt3847100:-	
4	tt3847102:-	tt3847104:-	tt3847106:-	
5	tt3847108:-	tt3847110:-	
6	tt3847114:-	tt3847116:-	
7	tt3847118:-	tt3847120:-	
