1	tt11878800:-	tt11878804:-	tt11878808:-	tt11878812:-	tt11878818:-	tt11878820:-	tt11878826:-	tt11878830:-	tt11878836:-	tt11878840:-	tt11878846:-	tt11878848:-	tt11878852:-	
2	tt11878860:-	tt11878862:-	tt11878864:-	tt11878866:-	tt11878872:-	tt11878874:-	tt11878878:-	tt11878880:-	tt11878882:-	
3	tt11878886:-	tt11878892:-	tt11878898:-	tt11878902:-	tt11878904:-	tt11878908:-	tt11878914:-	tt11878922:-	
4	tt11879034:-	tt11879040:-	tt11879044:-	tt11879048:-	tt11879052:-	tt11879056:-	tt11879060:-	tt11879062:-	tt11879064:-	tt11879066:-	tt11879068:-	tt11879070:-	
5	tt11879072:-	tt11879074:-	tt11879078:-	tt11879082:-	tt11879094:-	tt11879100:-	tt11879108:-	tt11879110:-	tt11879112:-	tt11879114:-	tt11879116:-	tt11879120:-	
6	tt11879126:-	tt11879128:-	tt11879132:-	tt11879140:-	tt11879142:-	tt11879144:-	tt11879148:-	tt11879154:-	tt11879164:-	tt11879170:-	tt11879174:-	tt11879176:-	
7	tt11879182:-	tt11879186:-	tt11879190:-	tt11879194:-	tt11879196:-	tt11879198:-	tt11879200:-	tt11879202:-	tt11879204:-	tt11879206:-	tt11879210:-	tt11879224:-	
8	tt11879236:-	tt11879238:-	tt11879248:-	tt11879250:-	tt11879254:-	tt11879256:-	tt11879258:-	tt11879260:-	tt11879262:-	tt11879264:-	tt11879268:-	tt11879270:-	
9	tt11879274:-	tt11879278:-	tt11879282:-	tt11879286:-	tt11879288:-	tt11879290:-	tt11879296:-	tt11879300:-	tt11879308:-	tt11879310:-	tt11879312:-	tt11879316:-	
10	tt11879330:-	tt11879334:-	tt11879340:-	tt11879342:-	tt11879346:-	tt11879348:-	tt11879352:-	tt11879356:-	tt11879362:-	tt11879370:-	tt12301506:-	
11	tt11879374:-	tt11879380:-	tt11879382:-	tt11879388:-	tt11879390:-	tt11879394:-	tt11879400:-	tt11879404:-	tt11879406:-	tt11879408:-	tt11879410:-	tt11879414:-	
