5	tt12459578:-	tt12459580:-	tt12459584:-	tt12459586:-	tt12459588:-	tt12511452:-	tt13328998:7.5	
1	tt5608944:7.1	tt5609396:7.5	tt5609740:7.0	tt5628402:7.4	tt5647748:7.4	tt5660490:7.1	
2	tt6245472:7.2	tt6265184:7.3	tt6265782:7.0	tt6265784:7.0	tt6265786:7.1	tt6265790:7.2	tt7658816:7.0	
3	tt7658822:7.2	tt7658824:7.7	tt7938118:7.4	tt7938180:7.4	tt7938184:7.0	tt7938190:6.9	
4	tt9025264:7.4	tt9468060:6.8	tt9468076:6.8	tt9468094:6.8	tt9468102:6.8	tt9468104:7.4	
