1	tt13560148:-	tt13560154:-	tt13560236:-	tt13560240:-	tt13560242:-	tt13560248:-	tt13560250:-	tt13560254:-	tt13560256:-	tt13560258:-	tt13560264:-	tt13560268:-	tt13560272:-	tt13561200:-	tt13561206:-	
2	tt13561208:-	tt13561210:-	tt13561212:-	tt13561216:-	tt13561218:-	tt13561224:-	tt13561230:-	tt13561236:-	tt13561238:-	tt13561254:-	tt13561264:-	tt13561268:-	tt13561274:-	tt13561278:-	
3	tt13561280:-	tt13561284:-	tt13561288:-	tt13561290:-	tt13561294:-	tt13561298:-	tt13561300:-	tt13561302:-	tt13561310:-	tt13561316:-	tt13561322:-	tt13561344:-	tt13562292:-	tt13562298:-	
4	tt13562304:-	tt13562430:-	tt13562438:-	tt13675588:-	tt13675614:-	tt13721246:-	tt13721252:-	
