2	tt10332916:8.4	tt10991404:8.3	tt11227898:8.1	tt11469502:7.9	tt11723230:7.9	tt9842796:7.7	
3	tt11931458:7.0	tt13375688:7.7	
4	tt14715076:8.6	tt14945656:-	tt15053584:-	
1	tt8883812:7.2	tt9149972:6.9	tt9519616:7.0	
