1	tt0956790:8.4	tt0966101:8.5	tt0986981:7.5	tt1021778:8.9	tt1027493:8.7	tt1050461:8.6	
\N	tt10160046:-	tt12808528:-	
14	tt11062284:7.5	tt11062290:6.9	tt11062294:6.8	tt11062300:8.8	tt11062308:7.4	tt11062312:8.4	tt11062320:8.9	tt12986830:8.4	
2	tt1161054:8.2	tt1234461:6.6	tt1253679:8.1	tt1288887:6.8	tt1288888:8.8	tt1288889:7.9	tt1288891:7.2	tt1403678:8.0	
15	tt12077652:-	
3	tt1347917:9.0	tt1347918:8.7	tt1350243:7.4	tt1350244:8.4	tt1350245:6.5	tt1363405:7.8	tt1403677:8.2	tt1469945:8.4	tt1469946:8.3	tt1477192:8.2	tt1497524:8.0	tt1535063:9.1	
4	tt1614737:7.0	tt1614738:7.8	tt1638663:8.5	tt1643848:7.1	tt1664404:8.0	tt1669004:8.6	tt1670805:7.8	tt1670806:8.4	tt1671204:7.8	
5	tt1736150:7.9	tt1736151:8.4	tt1736152:8.0	tt1736153:7.8	tt1736154:8.0	tt1736155:8.7	tt1736156:7.1	tt1736157:8.8	tt1736158:8.4	tt1736159:8.9	tt1736160:8.8	tt1736427:8.7	
6	tt1849463:8.8	tt1849464:8.1	tt1851544:7.7	tt1851545:8.6	tt1875588:8.7	tt1878496:7.7	tt1878497:7.5	tt2101928:8.6	tt2237381:7.8	tt2237383:6.9	tt2239809:7.9	
7	tt2303779:9.0	tt2367900:8.4	tt2395993:7.9	tt2395995:7.8	tt2560540:8.3	tt2573426:7.8	tt2651570:8.9	tt2661764:7.9	tt2710572:7.5	tt2749072:7.8	tt2777536:7.6	tt2827946:8.4	
8	tt2883544:8.6	tt3114272:7.1	tt3315900:7.9	tt3385804:8.1	tt3451542:8.1	tt3565332:7.6	tt3599730:7.8	tt3656688:7.7	tt3723874:7.9	tt3723880:8.6	
9	tt4127164:8.3	tt4127174:8.3	tt4179048:8.0	tt4254546:8.2	tt4301100:8.5	tt4321452:7.8	tt4396842:7.2	tt4452180:8.3	tt4522152:7.9	tt4707518:7.7	
10	tt5102816:8.8	tt5180920:7.6	tt5180944:8.1	tt5219638:7.9	tt5359962:8.5	tt5606336:7.0	tt5606366:7.3	tt5606382:8.3	tt5606426:8.7	tt5606474:8.4	
11	tt6239130:7.8	tt6239162:7.4	tt6505058:7.4	tt6505074:8.1	tt6505078:8.1	tt6505100:8.3	tt6505130:6.9	tt6505142:8.5	tt6505176:8.2	tt6505250:7.9	
12	tt6889774:8.0	tt6889812:8.2	tt6889834:6.9	tt6889866:8.1	tt6898616:8.0	tt6898634:7.8	tt6898654:8.6	tt6898908:7.4	tt6898924:8.2	tt6898932:7.7	
13	tt9089472:7.8	tt9089642:6.8	tt9089672:8.1	tt9159640:7.7	tt9159648:8.1	tt9159668:9.0	tt9159684:8.3	tt9159686:8.3	tt9159732:9.0	tt9159768:8.5	
