13	tt11750136:-	tt11750154:-	tt11750164:-	tt11750170:-	tt11750172:-	tt11750174:-	tt8147592:-	tt8147600:-	
14	tt11750182:-	tt12074686:-	tt12074708:-	tt12074730:-	tt12074754:-	tt12074776:-	tt12074794:-	tt12074820:-	
15	tt12074924:-	tt12074984:-	tt12075020:-	tt12075030:-	tt12075038:-	tt12075054:-	tt12075074:-	tt12075120:-	tt12075156:-	tt12075176:-	tt12075210:-	tt12075224:-	tt12075248:-	tt12075280:-	tt12075290:-	tt12075298:-	tt12075842:-	tt12075848:-	tt12075850:-	tt12075862:-	
1	tt3976462:-	tt3976464:-	tt3976466:-	tt3976472:-	tt3976476:-	tt3976482:-	tt3976488:-	tt3976490:-	tt3976494:-	tt3976498:-	tt3976502:-	tt3976504:-	tt3976506:-	tt3976510:-	tt3976512:-	
2	tt3976468:-	tt3976470:-	tt3976474:-	tt3976478:-	tt3976480:-	tt3976484:-	tt3976486:-	tt3976492:-	tt3976496:-	tt3976500:-	tt3976508:-	tt3976514:-	tt3976516:-	tt3976518:-	tt3976520:-	
3	tt3976522:-	tt3976524:-	tt3976526:-	tt3976530:-	tt3976532:-	tt3976534:-	tt3976536:-	tt3976538:-	tt3976540:-	tt3976542:-	tt3976546:-	tt3976548:-	tt3976550:-	tt3976552:-	tt3976558:-	
4	tt3976528:-	tt3976544:-	tt3976554:-	tt3976560:-	tt3976562:-	tt3976566:-	tt3976570:-	tt3976572:-	tt3976576:-	tt3976578:-	tt3976580:-	tt3976586:-	tt3976590:-	tt3976592:-	tt3976606:-	
5	tt3976556:-	tt3976564:-	tt3976568:-	tt3976574:-	tt3976582:-	tt3976584:-	tt3976588:-	tt3976594:-	tt3976596:-	tt3976598:-	tt3976600:-	tt3976602:-	tt3976604:-	tt3976608:-	tt3976610:-	
6	tt3976612:-	tt3976614:-	tt3976618:-	tt3976620:-	tt3976622:-	tt3976624:-	tt3976628:-	tt3976630:-	tt3976634:-	tt3976636:-	tt3976640:-	tt3976642:-	tt3976644:-	tt3976648:-	tt3976650:-	
7	tt3976616:-	tt3976626:-	tt3976632:-	tt3976638:-	tt3976646:-	tt3976652:-	tt3976654:-	tt3976656:-	tt3976658:-	tt3976660:-	tt3976664:-	tt3976666:-	tt3976668:-	tt3976674:-	tt3976696:-	
8	tt3976662:-	tt3976670:-	tt3976672:-	tt3976676:-	tt3976678:-	tt3976680:-	tt3976682:-	tt3976684:-	tt3976686:-	tt3976688:-	tt3976690:-	tt3976692:-	tt3976694:-	tt3976698:-	tt3976700:-	
9	tt3976702:-	tt3976704:-	tt3976706:-	tt3976708:-	tt3976710:-	tt3976712:-	tt3976714:-	tt3976716:-	tt3976718:-	tt3976720:-	tt3976722:-	tt3976724:-	tt3976726:-	tt3983924:-	tt4309470:-	
10	tt4216620:-	tt4216622:-	tt4216624:-	tt4216626:-	tt4216628:-	tt4309482:-	tt4602846:-	tt4685588:-	tt8139144:-	tt8139162:-	tt8139648:-	tt8139662:-	tt8139674:-	tt8139686:-	tt8139690:-	
\N	tt8139838:-	
11	tt8139846:-	tt8139854:-	tt8140142:-	tt8142228:-	tt8142276:-	tt8142278:-	tt8142280:-	tt8142286:-	tt8142290:-	tt8142294:-	tt8142296:-	tt8142300:-	tt8142302:-	tt8142304:-	tt8142310:-	
12	tt8142408:-	tt8142414:-	tt8142418:-	tt8142428:-	tt8142654:-	tt8142776:-	tt8147466:-	tt8147470:-	tt8147474:-	tt8147478:-	tt8147484:-	tt8147522:-	tt8147526:-	tt8147528:-	
