1	tt0877099:7.0	tt0877101:-	tt0956774:6.4	tt0956775:6.2	tt0957695:6.5	tt0957699:-	
3	tt0877100:-	tt0877103:7.2	tt0956777:-	tt0957696:6.8	tt0957697:7.0	tt0957698:7.0	tt0957700:7.0	
2	tt0877102:7.0	tt0877104:-	tt0956776:6.8	tt0956778:6.6	tt0956779:-	tt0957694:6.2	tt0957701:-	
