2	tt0544244:7.3	tt0544246:7.0	tt0544249:6.6	tt0544251:7.2	tt0544254:-	tt0544258:6.8	tt0544261:7.0	tt0544262:6.8	tt0544267:6.4	tt1222880:7.2	tt1222881:-	tt1222882:7.0	tt1222883:-	
3	tt0544245:6.6	tt0544247:-	tt0544250:6.8	tt0544253:6.4	tt0544256:7.0	tt0544260:6.6	tt0544263:-	tt0544264:7.2	tt1114343:7.0	tt1114344:7.0	tt1114345:-	tt1403430:6.8	
1	tt0544252:7.0	tt0544255:-	tt0544257:7.0	tt0544259:-	tt0544265:7.3	tt0544266:5.6	tt1058178:-	tt1114341:-	tt1125973:-	tt1222877:6.8	tt1222878:-	tt1222879:-	
