1	tt11004568:-	tt11004570:-	tt11004578:-	tt11004582:-	tt11004588:-	tt11004596:-	tt11004600:-	tt11004602:-	tt11004604:-	tt11004616:-	tt11004622:-	
2	tt11004630:-	tt11004792:-	tt11004802:-	tt11004808:-	tt11004810:-	tt11004812:-	tt11004818:-	tt11004820:-	tt11004822:-	tt11004826:-	tt11004848:-	tt11005318:-	
3	tt11004862:-	tt11004934:-	tt11004940:-	tt11004942:-	tt11004948:-	tt11004954:-	tt11004960:-	tt11004966:-	tt11004972:-	tt11004976:-	tt11004978:-	tt11004982:-	
4	tt11005026:-	tt11005030:-	tt11005034:-	tt11005040:-	tt11005046:-	tt11005048:-	tt11005050:-	tt11005052:-	tt11005054:-	tt11005060:-	tt11005064:-	tt11005066:-	
5	tt11005074:-	tt11005076:-	tt11005080:-	tt11005098:-	tt11005106:-	tt11005110:-	tt11005116:-	tt11005118:-	tt11005136:-	tt11005140:-	tt11005146:-	tt11005148:-	
