3	tt13224972:-	tt9024136:7.8	tt9024140:-	tt9024146:-	tt9024150:-	tt9024154:-	tt9024160:-	tt9024166:-	tt9024170:-	tt9024174:-	tt9024180:-	tt9088806:-	tt9088808:-	tt9088812:7.6	
1	tt6472986:6.8	tt6472990:6.2	tt6646588:5.9	tt6646590:5.7	tt6646594:7.0	tt8528058:7.0	tt8528062:7.0	tt8528066:6.8	tt8528068:7.2	tt8528072:7.0	tt8528074:7.2	tt8528076:7.4	tt8528078:7.4	
2	tt6643802:7.1	tt6646600:-	tt8451830:-	tt8451834:-	tt8451838:-	tt8451840:-	tt8451848:-	tt8451854:-	tt8451858:-	tt8451864:-	tt8451882:-	tt8451896:-	tt8451900:-	
