1	tt1465794:7.7	tt1465795:7.9	tt1477534:7.6	tt1516368:7.6	tt1517543:7.7	tt1520787:8.1	tt1535866:7.8	tt1541471:7.8	tt1548489:8.0	tt1553771:8.1	tt1565894:8.0	tt1570315:7.6	tt1583696:7.8	tt1588694:8.1	tt1608467:7.9	tt1608468:8.0	tt1608469:8.0	tt1609416:8.5	tt1632305:8.1	tt1641358:7.7	tt1641359:7.7	tt1644964:8.1	tt1644990:8.0	
2	tt1632287:8.0	tt1632288:7.9	tt1632289:7.7	tt1632290:7.5	tt1632291:8.2	tt1632292:7.7	tt1632293:7.9	tt1632294:8.4	tt1632295:8.1	tt1632296:7.8	tt1632297:8.1	tt1632298:7.7	tt1632299:8.0	tt1632300:8.2	tt1632301:8.0	tt1632302:7.6	tt1632303:7.8	tt1632304:8.7	tt1869080:7.9	tt1869081:8.1	tt1869082:8.4	tt1869083:8.1	tt1869084:8.6	
3	tt1982519:7.9	tt2006603:7.8	tt2055451:7.5	tt2063495:7.8	tt2078374:7.5	tt2078375:8.0	tt2082056:8.2	tt2092967:7.7	tt2103915:7.9	tt2113498:8.3	tt2113499:8.2	tt2148559:8.5	tt2148561:7.9	tt2175127:9.0	tt2213861:8.0	tt2223397:8.0	tt2223399:7.9	tt2223401:8.0	tt2223403:8.3	tt2223405:8.1	tt2223407:8.0	tt2223409:8.6	
4	tt2245406:8.3	tt2371912:7.8	tt2371914:7.8	tt2387486:7.8	tt2404802:7.6	tt2446304:7.7	tt2461422:8.2	tt2477568:7.6	tt2481622:7.6	tt2483834:7.7	tt2494586:8.0	tt2559910:8.5	tt2608082:8.1	tt2608084:8.8	tt2648234:7.9	tt2663514:8.0	tt2697926:7.5	tt2698008:8.6	tt2734906:8.0	tt2797588:7.9	tt2820968:7.6	tt2831606:8.6	
5	tt2801442:8.6	tt3150052:8.0	tt3150054:8.1	tt3163792:8.6	tt3227430:8.0	tt3234826:9.6	tt3268598:8.6	tt3283790:8.2	tt3331678:7.8	tt3344390:9.0	tt3344392:8.1	tt3412786:7.8	tt3540606:8.4	tt3546154:9.4	tt3560092:8.2	tt3621216:9.2	tt3631876:8.3	tt3642300:7.6	tt3648200:8.7	tt3663642:8.0	tt3683150:7.5	tt3698062:8.9	
6	tt3596120:8.6	tt3899742:8.5	tt4018700:8.1	tt4030396:7.9	tt4074858:8.8	tt4083504:8.0	tt4128270:7.9	tt4155544:8.0	tt4155550:8.1	tt4197012:8.4	tt4244648:8.0	tt4277078:9.0	tt4340768:7.3	tt4419978:7.8	tt4453196:6.3	tt4472254:7.6	tt4523502:8.4	tt4529816:8.4	tt4559048:8.2	tt4559186:8.7	tt4562978:8.3	tt4614806:7.9	
7	tt4836976:8.2	tt4959558:7.9	tt4981390:7.9	tt5039420:8.1	tt5056736:8.2	tt5126964:7.9	tt5146926:8.2	tt5193328:8.0	tt5201688:7.6	tt5225466:8.1	tt5264354:8.2	tt5265742:7.3	tt5276592:7.6	tt5368048:7.8	tt5431472:7.8	tt5447674:5.9	tt5456198:7.9	tt5462486:8.1	tt5502700:8.1	tt5525324:7.9	tt5525326:7.7	tt5525328:8.1	
