2	tt12740304:-	tt12740374:-	tt12740390:-	tt12740398:-	tt12740402:-	
1	tt12740308:-	tt12740312:-	tt12740316:-	tt12740332:-	tt12740346:-	tt12740354:-	
3	tt12740410:-	tt12740412:-	tt12740420:-	tt12740422:-	tt12740434:-	tt12740436:-	
