1	tt0535717:7.5	tt0535718:6.4	tt0535719:6.7	tt0535722:7.1	tt0535723:6.6	tt0764303:6.9	tt0770471:6.8	tt1276515:6.3	tt1276516:6.5	tt1278197:6.9	tt1278198:6.4	tt1278200:6.8	tt1400601:6.2	tt8713402:8.2	
2	tt0535720:6.1	tt0535721:6.3	tt0962830:6.9	tt0962831:6.1	tt1415934:6.3	tt1491132:7.7	tt1491743:6.4	tt1491744:6.0	tt1497443:6.6	tt1498251:6.9	tt1498252:6.8	tt1498253:6.6	tt1499987:6.9	
3	tt0955477:6.4	tt0955478:6.5	tt0955479:6.2	tt0955480:6.5	tt0955481:6.3	tt0955482:6.5	tt0955483:7.1	tt0962829:7.2	tt1347451:6.6	tt1349522:6.0	tt1499715:6.5	tt1501855:6.7	tt1501856:6.3	
4	tt0976329:6.7	tt0981582:7.3	tt0985778:7.2	tt0986494:6.9	tt1045990:7.1	tt1257636:6.5	tt1353824:6.6	tt1354115:7.4	tt1354116:6.1	tt1491742:6.6	tt1498254:6.2	tt1498255:6.0	tt1498256:6.3	
\N	tt10482472:-	
5	tt1111151:7.2	tt1328942:6.3	tt1363613:6.9	tt1363614:6.2	tt1364538:6.9	tt1364539:6.7	tt1498637:6.4	
