1	tt10433054:-	tt9677912:-	tt9677960:-	tt9678256:-	tt9678296:-	tt9678312:-	tt9678372:-	tt9703776:-	tt9703782:-	tt9703792:-	tt9703796:-	tt9703798:-	tt9703802:-	tt9703804:-	tt9879050:-	
2	tt10500438:-	tt10545730:-	tt10549066:-	tt10551530:-	tt10560902:-	tt11018252:-	tt11018626:-	tt11122572:-	tt11122586:-	tt11152322:-	tt11152334:-	tt11152340:-	tt11157450:-	tt11312684:-	tt11312722:-	tt11312742:-	tt11360500:-	tt11360536:-	
3	tt11768450:-	tt11768454:-	tt11769038:-	tt11769102:-	tt11769132:-	tt11769168:-	tt11769174:-	tt11769258:-	tt11769310:-	tt11942330:-	tt11942338:-	tt11942360:-	tt11942374:-	tt11945864:-	
4	tt12929752:-	tt13005252:-	tt13005258:-	tt13051614:-	tt13155044:-	tt13155048:-	tt13155052:-	tt13358236:-	tt13399660:-	tt13406186:-	tt13487100:-	tt13535386:-	tt13576432:-	tt13621110:-	
