1	tt4303264:-	tt4313626:-	tt4313642:-	tt4313654:-	
2	tt4313618:-	tt5119456:-	tt5119552:-	tt5119554:-	tt5119560:-	tt5119572:-	tt5357334:-	tt5357340:-	tt5357346:-	tt5390508:-	tt5390516:-	tt5390524:-	tt6148102:-	tt6148130:-	
3	tt6087498:-	tt6087536:-	tt6087558:-	tt6087568:-	tt6087578:-	tt6087588:-	tt6148140:-	tt6148148:-	tt6148168:-	tt6148180:-	tt6790022:-	tt6790034:-	tt6790044:-	
4	tt6684150:-	tt6684156:-	tt6684162:-	tt6684178:-	tt6684182:-	tt6684186:-	tt6789894:-	tt6789904:-	tt6789962:-	tt6789978:-	tt6789992:-	tt6984644:-	tt6984660:-	
\N	tt6789952:-	
