16	tt10924596:-	tt11106086:-	tt11106092:-	tt11106098:-	tt11106104:-	tt11106108:-	
15	tt10924612:-	tt10924614:-	tt10924622:-	tt10924634:-	tt10924640:-	tt10924644:-	tt10924650:-	tt10924652:-	
14	tt10924666:-	tt10924670:-	tt10924676:-	tt10924678:-	tt10924680:-	tt10924684:-	
13	tt10928460:-	tt10928464:-	tt10928468:-	tt10928470:-	tt10928472:-	tt10928474:-	tt10928476:-	
12	tt10928480:-	tt10928484:-	tt10928488:-	tt10928490:-	tt10928492:-	tt10928494:-	tt10928496:-	tt10928498:-	
11	tt10928502:-	tt10928506:-	tt10928510:-	tt10928512:-	tt10928514:-	tt10928516:-	tt10928518:-	tt8510178:-	
\N	tt10928534:-	tt10928542:-	tt10928550:-	tt10928564:-	tt10928568:-	tt10928574:-	
1	tt1115695:-	tt1115696:-	tt1115697:-	tt1115698:-	tt1115699:-	tt1115700:-	tt1115701:-	tt1115702:-	
2	tt1115703:-	tt1115704:-	tt1115705:-	tt1115706:-	tt1115707:-	tt1115708:-	tt1115709:-	tt1154561:-	
3	tt1231116:-	tt1234525:-	tt1237224:-	tt1240302:-	
4	tt1336550:-	tt1336551:-	tt1348010:-	tt1348011:-	tt1348012:-	tt1348013:-	tt1348014:-	tt1348015:-	
5	tt1429797:-	tt1433698:-	tt1640364:-	tt1640365:-	
6	tt1595277:-	tt1655203:-	tt1655204:-	tt1655926:-	tt1659097:-	tt1659098:-	
7	tt1595278:-	tt1596949:-	tt1596950:-	tt1596951:-	tt1596952:-	tt1596953:-	tt1596954:-	tt1596955:-	
8	tt1668799:-	tt1668800:-	tt1668801:-	tt1668802:-	tt1668803:-	tt1668804:-	tt1668805:-	tt1668806:-	
9	tt8466326:-	tt8488358:-	tt8488374:-	tt8488380:-	tt8488396:-	tt8488412:-	tt8488420:-	tt8488422:-	
10	tt8488460:-	tt8510080:-	tt8510086:-	tt8510096:-	tt8510112:-	tt8510138:-	tt8510154:-	tt8510160:-	
