1	tt12999078:-	tt12999080:-	tt12999084:-	tt12999086:-	tt12999088:-	tt12999090:-	tt12999092:-	tt12999094:-	tt12999096:-	tt12999100:-	
2	tt12999102:-	tt12999104:-	tt12999106:-	tt12999108:-	tt12999110:-	tt12999112:-	tt12999114:-	tt12999118:-	tt12999120:-	tt12999124:-	
3	tt12999128:-	tt12999130:-	tt12999132:-	tt12999134:-	tt12999136:-	tt12999138:-	tt12999142:-	tt12999144:-	tt12999146:-	tt12999148:-	tt12999150:-	tt12999152:-	
4	tt12999154:-	tt12999156:-	tt12999158:-	tt12999160:-	tt12999162:-	tt12999164:-	tt12999166:-	tt12999168:-	tt12999170:-	tt12999172:-	tt12999174:-	tt12999176:-	tt12999178:-	
5	tt12999180:-	tt12999182:-	tt12999184:-	tt12999188:-	tt12999190:-	tt12999192:-	tt12999194:-	tt12999198:-	tt12999202:-	tt12999204:-	tt12999206:-	tt12999208:-	tt12999210:-	tt12999212:-	
6	tt12999214:-	tt12999216:-	tt12999218:-	tt12999222:-	tt12999224:-	tt12999226:-	tt12999230:-	tt12999234:-	tt12999248:-	tt12999250:-	tt12999252:-	tt12999254:-	tt12999258:-	tt12999260:-	
7	tt12999264:-	tt12999266:-	tt12999274:-	tt12999276:-	tt12999278:-	tt12999282:-	tt12999284:-	tt12999286:-	tt12999288:-	tt12999290:-	tt12999294:-	tt12999296:-	tt12999298:-	tt12999308:-	
8	tt12999310:-	tt12999312:-	tt12999314:-	tt12999318:-	tt12999322:-	tt12999324:-	tt12999328:-	tt12999330:-	tt12999334:-	tt12999338:-	tt12999342:-	tt12999344:-	tt12999346:-	tt12999350:-	tt12999352:-	
