2	tt12323784:-	tt12329758:-	tt12329762:-	tt12329764:-	tt12329768:-	tt12329770:-	tt12329774:-	tt12329776:-	tt12329780:-	tt12329782:-	tt12329786:-	tt12329788:-	tt12329794:-	tt12329800:-	tt12329804:-	tt12329806:-	tt12329808:-	tt12329810:-	tt12329812:-	tt12329818:-	tt12329820:-	tt12334396:-	tt12334398:-	tt12334400:-	tt12334404:-	tt12334408:-	tt12334410:-	tt12334412:-	tt12334414:-	tt12334418:-	tt12334422:-	tt12334424:-	tt12334426:-	tt12334432:-	tt12334436:-	tt12334438:-	tt12334442:-	tt12334444:-	tt12334446:-	tt12334448:-	tt12334450:-	tt12342520:-	tt12342524:-	tt12342526:-	tt12342528:-	tt12342532:-	tt12342534:-	tt12342536:-	tt12342538:-	tt12342540:-	tt12342542:-	tt12342544:-	tt12342546:-	tt12342548:-	tt12342550:-	tt12342552:-	tt12342554:-	tt12342560:-	tt12342562:-	tt12342564:-	
4	tt12329832:-	tt12329834:-	tt12329840:-	tt12329842:-	tt12329846:-	tt12329848:-	tt12329850:-	tt12329854:-	tt12329856:-	tt12329860:-	tt12329862:-	tt12329864:-	tt12329868:-	tt12329874:-	tt12329876:-	tt12329878:-	tt12329882:-	tt12329884:-	tt12329886:-	tt12329890:-	tt12329892:-	tt12334452:-	tt12334454:-	tt12334458:-	tt12334460:-	tt12334462:-	tt12334464:-	tt12334466:-	tt12334468:-	tt12334470:-	tt12334472:-	tt12334476:-	tt12334478:-	tt12334480:-	tt12334484:-	tt12334486:-	tt12334488:-	tt12334492:-	tt12334494:-	tt12334496:-	tt12334498:-	tt12342566:-	tt12342570:-	tt12342572:-	tt12342574:-	tt12342576:-	tt12342578:-	tt12342580:-	tt12342582:-	tt12342584:-	tt12342586:-	tt12342588:-	tt12342590:-	tt12342592:-	tt12342594:-	tt12342598:-	tt12342602:-	tt12342604:-	tt12342606:-	tt12342608:-	tt12342610:-	tt12346958:-	tt12346960:-	tt12346964:-	tt12346968:-	tt12346970:-	tt12346972:-	tt12346974:-	tt12346976:-	tt12346978:-	tt12346980:-	tt12346982:-	tt12346984:-	tt12346986:-	tt12346988:-	tt12346990:-	tt12346992:-	tt12346994:-	tt12346998:-	tt12347000:-	
5	tt12329896:-	tt12354742:-	tt12354744:-	tt12354746:-	tt12354750:-	tt12354752:-	tt12354754:-	tt12354756:-	tt12354758:-	tt12354760:-	tt12354762:-	tt12354764:-	tt12354768:-	tt12354776:-	tt12354782:-	tt12354784:-	tt12354786:-	tt12354788:-	tt12354790:-	tt12354792:-	tt12354794:-	tt12359580:-	tt12359582:-	tt12359584:-	tt12359586:-	tt12359588:-	tt12359592:-	tt12359594:-	tt12359596:-	tt12359598:-	tt12359600:-	tt12359602:-	tt12359604:-	tt12359606:-	tt12359608:-	tt12359612:-	tt12359614:-	tt12359616:-	tt12359618:-	tt12359620:-	tt12359622:-	tt12359624:-	tt12359626:-	tt12359628:-	tt12359630:-	tt12359634:-	tt12366424:-	tt12366430:-	tt12366438:-	tt12366442:-	tt12366444:-	tt12366446:-	tt12366450:-	tt12366452:-	tt12366456:-	tt12366458:-	tt12366460:-	tt12366462:-	tt12366464:-	tt12366466:-	tt12366468:-	tt12366470:-	tt12366472:-	tt12366478:-	tt12366480:-	tt12366482:-	tt12371408:-	tt12371412:-	tt12371416:-	tt12371418:-	tt12371420:-	tt12371424:-	tt12371432:-	tt12371434:-	tt12371436:-	tt12371440:-	tt12371442:-	tt12371444:-	tt12371446:-	tt12371448:-	tt12371450:-	tt12371452:-	tt12371454:-	tt12371458:-	tt12371460:-	tt12371462:-	tt12377100:-	tt12377120:-	tt12377122:-	tt12377124:-	tt12377126:-	tt12377128:-	tt12377130:-	tt12377132:-	tt12377134:-	tt12377138:-	
6	tt12329910:-	tt12329912:-	tt12329920:-	tt12329922:-	tt12329928:-	tt12329930:-	tt12329936:-	tt12329940:-	tt12329942:-	tt12329946:-	tt12329948:-	tt12329950:-	tt12329954:-	tt12329956:-	tt12329962:-	tt12329964:-	tt12329968:-	tt12329970:-	tt12329972:-	tt12329976:-	tt12329978:-	tt12334500:-	tt12334502:-	tt12334504:-	tt12334506:-	tt12334510:-	tt12334512:-	tt12334514:-	tt12334520:-	tt12334522:-	tt12334528:-	tt12334530:-	tt12334532:-	tt12334534:-	tt12334538:-	tt12334540:-	tt12334542:-	tt12334544:-	tt12334546:-	tt12334550:-	tt12334552:-	tt12342612:-	tt12342614:-	tt12342616:-	tt12342618:-	tt12342620:-	tt12342624:-	tt12342626:-	tt12342630:-	tt12342632:-	tt12342634:-	tt12342638:-	tt12342640:-	tt12342642:-	tt12342644:-	tt12342646:-	tt12342648:-	tt12342650:-	tt12342652:-	tt12342656:-	tt12342658:-	tt12347004:-	tt12347006:-	tt12347008:-	tt12347010:-	tt12347012:-	tt12347014:-	tt12347016:-	tt12347018:-	tt12347022:-	tt12347024:-	tt12347026:-	tt12347028:-	tt12347032:-	tt12347034:-	tt12347036:-	tt12347038:-	tt12347040:-	tt12347042:-	tt12347044:-	tt12347046:-	tt12354798:-	tt12354800:-	tt12354802:-	tt12354804:-	tt12354806:-	tt12354808:-	tt12354810:-	tt12354814:-	tt12354818:-	tt12354822:-	tt12354824:-	tt12354826:-	tt12354828:-	tt12354830:-	tt12354832:-	
7	tt12329980:-	tt12359636:-	tt12359638:-	tt12359640:-	tt12359642:-	tt12359644:-	tt12359646:-	tt12359648:-	tt12359650:-	tt12359652:-	tt12359654:-	tt12359656:-	tt12359658:-	tt12359660:-	tt12359662:-	tt12359664:-	tt12359668:-	tt12359670:-	tt12359672:-	tt12359674:-	tt12359676:-	tt12366486:-	tt12366488:-	tt12366490:-	tt12366492:-	tt12366494:-	tt12366498:-	tt12366500:-	tt12366502:-	tt12366504:-	tt12366508:-	tt12366512:-	tt12366514:-	tt12366516:-	tt12366518:-	tt12366524:-	tt12366526:-	tt12366528:-	tt12366530:-	tt12366532:-	tt12366534:-	tt12371466:-	tt12371468:-	tt12371470:-	tt12371474:-	tt12371478:-	tt12371480:-	tt12371482:-	tt12371484:-	tt12371486:-	tt12371494:-	tt12371496:-	tt12371498:-	tt12371504:-	tt12371510:-	tt12371512:-	tt12371516:-	tt12371518:-	tt12371526:-	tt12371528:-	tt12371530:-	tt12377144:-	tt12377146:-	tt12377148:-	tt12377150:-	tt12377154:-	tt12377158:-	tt12377160:-	tt12377164:-	tt12377166:-	tt12377168:-	tt12377172:-	tt12377176:-	tt12377178:-	tt12377180:-	tt12377182:-	tt12377184:-	tt12377188:-	tt12377190:-	tt12377194:-	tt12377196:-	tt12382642:-	tt12382646:-	tt12382648:-	tt12382650:-	tt12382652:-	tt12382654:-	tt12382656:-	tt12382660:-	tt12382662:-	tt12382664:-	tt12382666:-	tt12382668:-	tt12382670:-	tt12382672:-	tt12382674:-	
8	tt12329988:-	tt12329990:-	tt12329994:-	tt12329996:-	tt12329998:-	tt12330000:-	tt12330004:-	tt12330006:-	tt12330008:-	tt12330010:-	tt12330014:-	tt12330016:-	tt12330018:-	tt12330022:-	tt12330026:-	tt12330030:-	tt12330034:-	tt12330038:-	tt12330040:-	tt12330042:-	tt12330046:-	tt12334554:-	tt12334558:-	tt12334560:-	tt12334562:-	tt12334564:-	tt12334566:-	tt12334568:-	tt12334570:-	tt12334572:-	tt12334574:-	tt12334576:-	tt12334580:-	tt12334584:-	tt12334586:-	tt12334588:-	tt12334590:-	tt12334594:-	tt12334596:-	tt12334600:-	tt12334602:-	tt12342662:-	tt12342664:-	tt12342668:-	tt12342670:-	tt12342672:-	tt12342674:-	tt12342678:-	tt12342680:-	tt12342684:-	tt12342688:-	tt12342690:-	tt12342692:-	tt12342694:-	tt12342696:-	tt12342698:-	tt12342704:-	tt12342706:-	tt12342708:-	tt12342714:-	tt12342718:-	tt12347050:-	tt12347052:-	tt12347056:-	tt12347058:-	tt12347060:-	tt12347062:-	tt12347064:-	tt12347068:-	tt12347070:-	tt12347072:-	tt12347074:-	tt12347076:-	tt12347078:-	tt12347080:-	tt12347084:-	tt12347086:-	tt12347088:-	tt12347090:-	tt12347092:-	tt12347094:-	tt12354838:-	tt12354840:-	tt12354842:-	tt12354846:-	tt12354848:-	tt12354850:-	tt12354852:-	tt12354854:-	tt12354856:-	tt12354860:-	tt12354864:-	tt12354866:-	tt12354868:-	tt12354870:-	tt12354872:-	
10	tt12330054:-	tt12330058:-	tt12330060:-	tt12330062:-	tt12330066:-	tt12330070:-	tt12330072:-	tt12330076:-	tt12330078:-	tt12330082:-	tt12330084:-	tt12330086:-	tt12330088:-	tt12330090:-	tt12330092:-	tt12330094:-	tt12330096:-	tt12330098:-	tt12330100:-	tt12330104:-	tt12330108:-	tt12334606:-	tt12334608:-	tt12334610:-	tt12334612:-	tt12334614:-	tt12334616:-	tt12334622:-	tt12334624:-	tt12334626:-	tt12334628:-	tt12334634:-	tt12334638:-	tt12334642:-	tt12334644:-	tt12334646:-	tt12334648:-	tt12334652:-	tt12334660:-	tt12334662:-	tt12334664:-	tt12334668:-	tt12334670:-	tt12334672:-	tt12334674:-	tt12334676:-	tt12334680:-	tt12334682:-	
11	tt12330110:-	tt12342720:-	tt12342722:-	tt12342724:-	tt12342726:-	tt12342728:-	tt12342730:-	tt12342732:-	tt12342734:-	tt12342738:-	tt12342742:-	tt12342744:-	tt12342746:-	tt12342750:-	tt12342752:-	tt12342756:-	tt12342758:-	tt12342760:-	tt12342762:-	tt12342766:-	tt12342768:-	tt12347096:-	tt12347100:-	tt12347102:-	tt12347106:-	tt12347108:-	tt12347110:-	tt12347112:-	tt12347114:-	tt12347118:-	tt12347120:-	tt12347122:-	tt12347124:-	tt12347126:-	tt12347128:-	tt12347130:-	tt12347132:-	tt12347134:-	tt12347136:-	tt12347138:-	tt12347140:-	tt12354880:-	tt12354888:-	tt12354890:-	tt12354892:-	tt12354894:-	tt12354900:-	tt12354902:-	tt12354904:-	tt12354906:-	tt12354910:-	tt12354912:-	tt12354918:-	tt12354920:-	tt12354922:-	tt12354926:-	tt12354928:-	tt12354934:-	tt12354936:-	tt12354940:-	tt12354942:-	tt12359678:-	tt12359680:-	tt12359682:-	tt12359684:-	tt12359686:-	tt12359688:-	tt12359690:-	tt12359692:-	tt12359694:-	tt12359698:-	tt12359700:-	tt12359702:-	tt12359704:-	tt12359706:-	tt12359708:-	tt12359710:-	tt12359714:-	tt12359718:-	tt12359720:-	tt12359722:-	tt12366576:-	tt12366578:-	tt12366580:-	tt12366582:-	tt12366584:-	tt12366588:-	tt12366590:-	tt12366592:-	tt12366594:-	tt12366598:-	tt12366600:-	tt12366602:-	tt12366604:-	tt12366606:-	tt12366610:-	
12	tt12330116:-	tt12371586:-	tt12371592:-	tt12371594:-	tt12371600:-	tt12371602:-	tt12371606:-	tt12371608:-	tt12371616:-	tt12371622:-	tt12371626:-	tt12371628:-	tt12371630:-	tt12371634:-	tt12371638:-	tt12371640:-	tt12371644:-	tt12371650:-	tt12371652:-	tt12371656:-	tt12371660:-	tt12377262:-	tt12377264:-	tt12377268:-	tt12377270:-	tt12377272:-	tt12377274:-	tt12377276:-	tt12377278:-	tt12377280:-	tt12377282:-	tt12377284:-	tt12377286:-	tt12377288:-	tt12377290:-	tt12377292:-	tt12377294:-	tt12377296:-	tt12377298:-	tt12377302:-	tt12377304:-	tt12382724:-	tt12382726:-	tt12382728:-	tt12382730:-	tt12382732:-	tt12382734:-	tt12382736:-	tt12382738:-	tt12382740:-	tt12382742:-	tt12382744:-	tt12382746:-	tt12382748:-	tt12382750:-	tt12382752:-	tt12382754:-	tt12382756:-	tt12382758:-	tt12382760:-	tt12382764:-	tt12387696:-	tt12387702:-	tt12387704:-	tt12387714:-	tt12387718:-	tt12387720:-	tt12387722:-	tt12387724:-	tt12387726:-	tt12387728:-	tt12387730:-	tt12387732:-	tt12387736:-	tt12387738:-	tt12387740:-	tt12387744:-	tt12387746:-	tt12387748:-	tt12387750:-	tt12387752:-	tt12387754:-	tt12387756:-	tt12387758:-	tt12387760:-	tt12387762:-	tt12387764:-	tt12387766:-	tt12387768:-	tt12387770:-	tt12387772:-	tt12387774:-	tt12387776:-	tt12387778:-	tt12387780:-	tt12387782:-	
3	tt12346906:-	tt12346910:-	tt12346914:-	tt12346916:-	tt12346918:-	tt12346920:-	tt12346922:-	tt12346924:-	tt12346926:-	tt12346928:-	tt12346932:-	tt12346934:-	tt12346936:-	tt12346938:-	tt12346940:-	tt12346944:-	tt12346946:-	tt12346948:-	tt12346950:-	tt12346952:-	tt12346954:-	tt12354664:-	tt12354668:-	tt12354670:-	tt12354674:-	tt12354688:-	tt12354690:-	tt12354696:-	tt12354698:-	tt12354702:-	tt12354704:-	tt12354708:-	tt12354710:-	tt12354714:-	tt12354716:-	tt12354718:-	tt12354722:-	tt12354724:-	tt12354728:-	tt12354730:-	tt12354732:-	tt12359538:-	tt12359540:-	tt12359542:-	tt12359544:-	tt12359546:-	tt12359548:-	tt12359550:-	tt12359552:-	tt12359554:-	tt12359556:-	tt12359558:-	tt12359560:-	tt12359562:-	tt12359564:-	tt12359566:-	tt12359568:-	tt12359570:-	tt12359572:-	tt12359574:-	tt12359576:-	tt12366362:-	tt12366370:-	tt12366372:-	tt12366374:-	tt12366378:-	tt12366384:-	tt12366386:-	tt12366388:-	tt12366390:-	tt12366394:-	tt12366396:-	tt12366398:-	tt12366400:-	tt12366402:-	tt12366404:-	tt12366406:-	tt12366410:-	tt12366414:-	tt12366416:-	tt12366420:-	tt12371352:-	tt12371362:-	tt12371364:-	tt12371366:-	tt12371368:-	tt12371370:-	tt12371376:-	tt12371378:-	tt12371380:-	tt12371382:-	tt12371384:-	tt12371388:-	tt12371390:-	tt12371392:-	tt12371394:-	tt12371396:-	tt12371398:-	tt12371400:-	tt12371402:-	
9	tt12366538:-	tt12366540:-	tt12366542:-	tt12366544:-	tt12366546:-	tt12366548:-	tt12366550:-	tt12366552:-	tt12366554:-	tt12366556:-	tt12366558:-	tt12366560:-	tt12366562:-	tt12366564:-	tt12366566:-	tt12366568:-	tt12366570:-	tt12366572:-	tt12366574:-	tt12371534:-	tt12371536:-	tt12371538:-	tt12371540:-	tt12371542:-	tt12371546:-	tt12371548:-	tt12371550:-	tt12371552:-	tt12371554:-	tt12371558:-	tt12371562:-	tt12371564:-	tt12371566:-	tt12371568:-	tt12371570:-	tt12371572:-	tt12371574:-	tt12371576:-	tt12371578:-	tt12377202:-	tt12377204:-	tt12377206:-	tt12377208:-	tt12377210:-	tt12377212:-	tt12377214:-	tt12377216:-	tt12377218:-	tt12377220:-	tt12377234:-	tt12377236:-	tt12377240:-	tt12377242:-	tt12377244:-	tt12377250:-	tt12377252:-	tt12377254:-	tt12377256:-	tt12377260:-	tt12382682:-	tt12382684:-	tt12382686:-	tt12382688:-	tt12382690:-	tt12382692:-	tt12382694:-	tt12382696:-	tt12382698:-	tt12382700:-	tt12382702:-	tt12382704:-	tt12382706:-	tt12382708:-	tt12382710:-	tt12382714:-	tt12382716:-	tt12382718:-	tt12382720:-	tt12382722:-	tt12387784:-	tt12387786:-	tt12387788:-	tt12387790:-	tt12387792:-	tt12387794:-	tt12387796:-	tt12387798:-	tt12387800:-	tt12387802:-	tt12387804:-	tt12387806:-	tt12387808:-	tt12387810:-	tt12387812:-	tt5455522:-	tt5455524:-	
1	tt1316833:-	tt1316834:-	tt1316835:-	tt2305164:-	tt2305564:-	tt2309694:-	tt4003150:-	tt4003152:-	tt4003154:-	tt4003156:-	tt4003158:-	tt4003160:-	tt4003162:-	tt4003164:-	tt4003166:-	tt4003168:-	tt4003170:-	tt4003172:-	tt4003174:-	tt4003176:-	tt4003180:-	tt4003184:-	tt4003188:-	tt4003190:-	tt4003194:-	tt4003196:-	tt4003198:-	tt4003200:-	tt4003202:-	tt4003206:-	tt4003212:-	tt4003222:-	tt4003224:-	tt4003226:-	tt4003230:-	tt4003232:-	tt4003242:-	tt4003250:-	tt4003266:-	tt4003270:-	
