1	tt13676284:-	tt13676288:-	tt13676296:-	tt13676306:-	tt13676316:-	tt13676324:-	tt13676328:-	
2	tt13676334:-	tt13676348:-	tt13676360:-	tt13676362:-	tt13676366:-	
3	tt13676370:-	tt13676372:-	tt13676378:-	tt13676386:-	
4	tt13676400:-	tt13676420:-	tt13676438:-	tt13676446:-	
5	tt13676456:-	tt13676484:-	tt13676492:-	
