1	tt1604651:-	tt1604661:-	tt1604662:-	tt1604664:-	tt1604665:-	tt1604666:-	tt1604667:-	
2	tt1604652:-	tt1604654:-	tt1604659:-	tt1604660:-	tt1604668:-	
3	tt1604653:-	tt1604655:-	tt1604656:-	tt1604657:-	tt1604658:-	tt1604663:-	
4	tt1637482:-	tt1637483:-	tt1645583:-	tt1645584:-	tt1645585:-	tt1645586:-	
5	tt1871026:-	tt1871027:-	tt1871028:-	tt1871029:-	tt1871030:-	tt1871031:-	
6	tt2257871:-	tt2257873:-	tt2257875:-	tt2257877:-	tt2257879:-	tt2257881:-	
