4	tt10162280:7.1	tt10267622:6.4	tt11101196:7.6	tt11162456:7.5	tt5059492:5.6	tt9617584:6.6	
\N	tt11203144:-	tt3566148:6.5	
3	tt11218072:7.7	tt11218332:7.8	tt5056124:7.2	tt5059496:7.3	tt5059498:6.8	tt5059510:7.4	tt5302330:8.4	tt5432446:8.0	tt5440590:8.1	tt5598194:7.5	tt5737126:7.4	tt5843628:7.0	tt6162198:6.2	tt6162210:6.4	tt6162216:6.4	tt6327686:7.0	tt6394186:7.5	tt6523432:6.2	tt6693118:5.7	tt7009262:7.7	tt7009266:7.7	tt7069756:7.5	tt7219330:7.4	tt7258980:8.1	tt7531362:7.6	tt7937064:8.1	tt8276700:7.5	tt9528096:7.4	tt9689138:6.7	
1	tt1199479:8.0	tt1427321:6.2	tt1484443:7.0	tt1484444:6.8	tt1493939:5.4	tt1493940:6.5	tt1493941:6.2	tt1493942:6.2	tt1493943:8.5	tt1501756:7.4	tt1501757:8.0	tt1502429:8.3	tt1503202:6.9	tt1507574:7.1	tt1509847:7.1	tt1509848:6.8	tt1509849:7.7	tt1509850:6.9	tt1509852:6.5	tt1617298:7.9	tt1617299:7.1	tt1617300:6.6	tt1617301:7.8	tt1704731:7.7	tt1717745:6.2	tt1724281:6.5	tt1734593:7.1	tt1738398:8.5	tt1746277:6.0	tt1746635:6.3	
2	tt2318140:6.8	tt2318158:7.6	tt2356294:5.7	tt2356298:7.0	tt2356302:8.1	tt2356304:7.1	tt2488386:6.5	tt2751904:8.4	tt2835958:7.6	tt2914890:7.0	tt3215978:6.4	tt3267334:6.5	tt3284786:6.6	tt3311418:7.3	tt3377022:7.8	tt3417870:7.3	tt3605164:7.1	tt3682160:8.1	tt3793686:7.5	tt4087182:7.0	tt4118094:6.8	tt4171878:6.4	tt4172116:7.0	tt4203334:7.1	tt4204104:7.3	tt4284192:7.4	tt4300028:7.6	tt4340556:8.4	tt4450678:6.5	tt5302312:7.0	
