5	tt0703301:6.4	tt1312831:-	tt1312832:-	tt1312833:-	tt1312835:-	tt1312839:7.7	tt1312840:8.2	tt1820205:-	
1	tt0880339:7.8	tt0880340:8.3	tt0880341:8.5	tt0880342:8.6	tt0886635:8.4	
2	tt0886636:8.0	tt0886637:8.0	tt0887842:8.2	tt0892174:8.3	tt0892175:8.3	
3	tt0892847:6.9	tt0892848:8.7	tt0930497:8.0	tt0930498:8.0	tt1309320:8.0	tt1309321:8.0	
4	tt1309319:7.5	tt1309322:8.0	tt1312830:8.4	tt1312834:-	tt1312836:8.0	tt1312837:8.2	tt1312838:8.4	
6	tt1313798:4.3	tt1313799:4.4	tt1313800:3.3	tt1313801:5.0	tt1313802:6.0	tt1313803:3.3	tt1313804:4.8	
