1	tt4809490:-	tt4809498:-	tt4809510:-	tt4818970:-	tt4818974:-	tt4818982:-	tt4818988:-	tt4818990:-	
2	tt4819000:-	tt4819004:-	tt4819010:-	tt4819014:-	tt4819024:-	tt4819028:-	tt4819040:-	tt4819046:-	tt4819052:-	tt4819060:-	tt4819064:-	tt4819068:-	
3	tt4819074:-	tt4819078:-	tt4819084:-	tt4819092:-	tt4819096:-	tt4819102:-	tt4819108:-	tt4819114:-	tt4819118:-	tt4819126:-	tt4819130:-	tt4819140:-	tt4819146:-	
4	tt4819198:-	tt4833400:-	tt4833404:-	tt4833408:-	tt4833414:-	tt4833418:-	tt4833424:-	tt4833430:-	tt4833434:-	tt4833438:-	
5	tt4819252:-	tt4819268:-	tt4834548:-	tt4834554:-	tt4834558:-	tt4834562:-	tt4834566:-	tt4834572:-	tt4834576:-	tt4834580:-	tt4834584:-	tt4834588:-	
6	tt4819298:-	tt4819344:-	tt4819350:-	tt4819358:8.6	tt4819364:-	tt4819370:-	tt4819392:-	
7	tt4819308:-	tt4819316:-	tt4819326:-	tt4846880:-	tt5039668:-	tt5053206:-	
8	tt5299568:-	tt5299574:-	tt5299580:-	tt5299584:-	tt5299588:-	tt5299592:-	tt5299608:-	
9	tt5377828:-	tt5377836:-	tt5377844:-	tt5377854:-	tt5377862:-	tt5377876:-	
10	tt5545998:-	tt5546006:-	tt5546012:-	tt5546016:-	tt5546036:-	tt5546042:-	
