5	tt0510077:-	tt0510080:-	tt0919021:-	tt0919022:-	tt0919023:-	tt0919024:-	tt0919025:-	tt0919026:-	tt0919027:-	tt0919028:-	tt0919029:-	tt0919030:-	tt0919031:-	tt2383111:-	
1	tt0510078:-	tt1014833:-	tt1014834:-	tt1014835:-	tt1014836:-	tt1014837:-	tt1014838:-	tt1014839:-	tt1014840:-	tt1014841:-	tt1014842:-	tt1014843:-	tt1014844:-	tt1039662:-	
6	tt0510079:-	tt0896596:-	tt0896597:-	tt0896598:-	tt0896599:-	tt0896600:-	tt0896601:-	tt0896602:-	tt0896603:-	tt0896604:-	tt0896605:-	tt0896606:-	tt0896607:-	
4	tt0763582:-	tt1101061:-	tt1101062:-	tt1101063:-	tt1170454:-	tt2383095:-	tt2383097:-	tt2383099:-	tt2383101:-	tt2383103:-	tt2383105:-	tt2383107:-	tt2383109:-	
2	tt0845569:-	tt1039654:-	tt1039655:-	tt1039656:-	tt1039657:-	tt1039658:-	tt1039659:-	tt1039660:-	tt1039661:-	tt1039663:-	tt1039664:-	tt1039665:-	
3	tt1101060:-	tt7062476:-	tt7062478:-	tt7062480:-	tt7062482:-	tt7062484:-	tt7062486:-	tt7062490:-	tt7062496:-	tt7062498:-	tt7062500:-	tt7062502:-	tt7062506:-	
