3	tt14071754:-	tt14071842:-	tt14134768:-	tt14200240:-	tt14226932:-	
1	tt5870086:5.7	tt5872222:5.1	tt5872236:5.6	tt5872254:5.5	tt5872264:5.0	tt5872274:5.6	
2	tt8691018:5.1	tt8691210:-	tt8691842:-	tt8692602:-	tt8693272:-	tt8693344:-	
