1	tt4786978:-	tt4786990:-	tt4787002:-	tt4787026:-	tt4787034:-	tt4787036:-	tt4787044:-	tt4787048:-	tt4787090:-	tt4794194:-	tt4794214:-	tt4794222:-	tt4794234:-	tt4794500:-	tt4794508:-	tt4794516:-	tt4794526:-	
2	tt4835516:-	tt4835522:-	tt4835528:-	tt4835530:-	tt4835532:-	tt4835538:-	tt4835542:-	tt4835546:-	tt4835548:-	tt4835552:-	tt4835556:-	tt4835562:-	tt4835564:-	tt4835566:-	tt4835574:-	tt4835576:-	tt4835580:-	tt4835584:-	tt4835586:-	tt4835590:-	tt4835594:-	tt4835600:-	tt4835602:-	tt4835604:-	tt4835606:-	tt4835608:-	
3	tt5579126:-	tt5596198:-	tt5596208:-	tt5596226:-	tt5596234:-	tt5596250:-	tt5617008:-	tt5617012:-	tt5617020:-	tt5617026:-	tt5617030:-	tt5617032:-	tt5617034:-	tt5617044:-	tt5617048:-	
4	tt5712860:-	tt5712910:-	tt5712938:-	tt5713072:-	tt5713094:-	tt5716118:-	tt5720486:-	tt5720494:-	tt5720496:-	tt5720498:-	tt5720504:-	tt5720506:-	tt5720508:-	tt5720512:-	
5	tt6738940:-	tt6865526:-	tt6865528:-	tt6865576:-	tt6865582:-	tt6865590:-	tt6865598:-	tt6865626:-	tt6877612:-	tt6877644:-	tt6877664:-	tt6877674:-	tt6877680:-	tt6905260:-	
