1	tt0676209:8.4	tt0676212:-	tt0676224:8.7	tt0676226:8.0	tt0676229:9.8	tt0676230:7.8	tt0676235:8.2	tt0676238:9.8	tt0676241:8.4	tt0676243:8.3	tt0676244:-	tt0676250:8.4	tt0676264:-	tt1973587:-	
2	tt0676210:-	tt0676220:-	tt0676223:7.0	tt0676225:-	tt0676232:-	tt0676239:-	tt0676247:-	tt0676248:7.0	tt0676249:-	tt0676252:-	tt0676257:-	tt0676258:7.4	tt0676268:-	
4	tt0676211:-	tt0676214:-	tt0676215:-	tt0676216:-	tt0676218:-	tt0676222:-	tt0676234:7.3	tt0676237:-	tt0676240:-	tt0676245:-	tt0676260:-	tt0676266:-	tt0676269:-	
3	tt0676213:7.2	tt0676217:-	tt0676221:-	tt0676227:-	tt0676228:-	tt0676233:-	tt0676236:-	tt0676242:-	tt0676246:-	tt0676254:-	tt0676255:7.1	tt0676265:7.4	tt0676267:-	
5	tt0676219:-	tt0676231:-	tt0676251:-	tt0676253:-	tt0676256:-	tt0676259:-	tt0676261:-	tt0676262:-	tt0676263:-	
