1	tt1093150:7.2	tt1093151:6.8	tt1093152:7.1	tt1093153:6.8	tt1093154:7.1	tt1093155:6.7	tt1093156:7.1	tt1093157:7.3	
2	tt1093158:7.5	tt1093159:7.2	tt1093160:-	tt1093161:7.2	tt1093162:7.1	tt1093163:6.7	tt1093164:7.4	tt1093165:7.7	tt1093166:7.4	tt1093167:7.3	tt1093168:7.5	
3	tt1093169:7.7	tt1093170:7.4	tt1093171:8.0	tt1093172:6.8	tt1093173:7.4	tt1093174:7.3	tt1093175:7.6	tt1093176:7.2	tt1111824:7.9	
4	tt1093177:7.2	tt1093178:7.4	tt1093179:6.8	tt1093180:6.8	tt1093181:6.8	tt1093182:7.0	tt1093183:8.0	tt1093184:7.0	tt1093185:6.6	tt1119480:7.2	tt1119481:7.0	tt1119482:7.2	
5	tt1277648:-	tt1277649:-	tt1277650:-	tt1277651:-	tt1277652:-	tt1277653:-	tt1277654:-	tt1277655:-	
6	tt1348016:-	tt1348017:-	tt1348018:-	tt1348019:-	tt1348020:-	tt1348021:-	tt1348022:-	tt1348023:-	tt1348024:-	tt1348025:-	tt1350321:-	
7	tt1502677:-	tt1502678:-	tt1502679:-	tt1618322:-	tt1618323:-	tt1618324:-	tt1618325:-	tt1618326:-	tt1618327:-	tt1618328:-	
8	tt1618329:-	tt1618330:-	tt1618331:-	tt1618332:-	tt1618333:-	tt1618334:-	tt1618335:-	tt1618336:-	tt1618337:-	tt1618338:-	
9	tt1700410:-	tt1700411:-	tt1704976:-	tt1708352:-	tt1711919:-	tt1716684:-	tt1728087:-	tt1728088:-	tt1728089:-	tt1728090:-	
10	tt2048624:-	tt2057268:-	tt2062408:-	tt2071309:-	tt2076703:-	tt2082078:-	tt2089496:-	tt2094658:-	tt2100315:-	tt2178801:-	
11	tt2221193:-	tt2221195:-	tt2221197:-	tt2289487:-	tt2289489:-	tt2289491:-	tt2306161:-	tt2306163:-	tt2312885:-	tt2318169:-	
