1	tt1074244:8.2	tt1074245:8.6	tt1077407:8.6	tt1077408:7.2	
2	tt1244186:-	tt1244187:-	tt1251765:-	tt1253600:-	tt1256652:-	
3	tt1452746:-	tt1453455:-	tt1455279:-	tt1455280:-	tt1455281:-	
4	tt1669872:-	tt1672899:-	tt1677089:-	tt1681386:-	tt1684683:-	
5	tt1956741:-	tt1959668:-	tt1965327:-	tt1975348:-	tt1984316:-	
6	tt2199732:-	tt2208602:-	tt2223010:-	tt2236716:-	tt2249868:-	tt2278722:-	
