1	tt10070744:-	tt10070752:-	tt10070758:-	tt10070764:-	tt10070772:-	tt10070792:-	tt10110862:-	tt10110868:-	tt10110870:-	tt10110950:-	tt10110956:-	tt10110986:-	tt10110990:-	tt10110992:-	tt10110996:-	tt10110998:-	tt10111004:-	tt10111010:-	tt10111012:-	tt10140422:-	tt10161586:-	tt10214342:-	tt10214352:-	tt10272938:-	tt9909996:-	tt9910004:-	tt9910026:-	tt9910034:-	tt9910054:-	tt9910060:-	tt9910072:-	tt9910100:-	tt9915126:-	tt9915132:-	tt9915146:-	tt9915158:-	tt9915174:-	
2	tt10272988:-	tt10284232:-	tt10355842:-	tt10355848:-	tt10423140:-	tt10457240:-	tt10457242:-	tt10457246:-	tt10457250:-	tt10457252:-	tt10461158:-	tt10477796:-	tt10477802:-	tt10477810:-	tt10477812:-	tt10477824:-	tt10497830:-	tt10529238:-	tt10529244:-	tt10529246:-	tt10529254:-	tt10529256:-	tt10566436:-	tt10566492:-	tt10566506:-	tt10566758:-	tt10566800:-	tt10584438:-	tt10584442:-	tt10597614:-	
3	tt10597624:-	tt10597636:-	tt10633474:-	tt10633476:-	tt10633478:-	tt10633480:-	tt10633484:-	tt10787308:-	tt10787318:-	tt10787324:-	tt10787330:-	tt10825400:-	tt10825410:-	tt10825420:-	tt10825432:-	tt10868420:-	tt10868432:-	tt10868442:-	tt10868454:-	tt10911792:-	tt10911802:-	tt10911816:-	tt10911826:-	tt10911848:-	tt10935558:-	tt10935746:-	tt10935762:-	tt10935778:-	tt10935798:-	tt10935830:-	
4	tt10963582:-	tt10963588:-	tt10963592:-	tt10963594:-	tt10963608:-	tt10963612:-	tt10998968:-	tt10998976:-	tt10998990:-	tt10998998:-	tt10999006:-	tt10999010:-	tt11038912:-	tt11038916:-	tt11038924:-	tt11038926:-	tt11038932:-	tt11038938:-	tt11038942:-	tt11038946:-	tt11038954:-	tt11038958:-	tt11038962:-	tt11038970:-	tt11038980:-	tt11038988:-	tt11115142:-	tt11115156:-	tt11115160:-	tt11115162:-	
5	tt11150934:-	tt11150952:-	tt11150962:-	tt11150990:-	tt11150998:-	tt11151008:-	tt11151016:-	tt11151020:-	tt11151030:-	tt11151034:-	tt11151042:-	tt11151050:-	tt11151052:-	tt11187776:-	tt11187786:-	tt11187792:-	tt11187798:-	tt11187810:-	tt11187822:-	tt11224104:-	tt11224470:-	tt11224476:-	tt11224492:-	tt11224498:-	tt11224508:-	tt11261376:-	tt11261380:-	tt11261384:-	tt11261388:-	tt11261392:-	
6	tt11300576:-	tt11300578:-	tt11300580:-	tt11300582:-	tt11300588:-	tt11337020:-	tt11337026:-	tt11337030:-	tt11337034:-	tt11337036:-	tt11337040:-	tt11400010:-	tt11400012:-	tt11400014:-	tt11400018:-	tt11400020:-	tt11400022:-	tt11400024:-	tt11400030:-	tt11400032:-	tt11400036:-	tt11400040:-	tt11400042:-	tt11400046:-	tt11400048:-	tt11439238:-	tt11439242:-	tt11439246:-	tt11439248:-	tt11439250:-	
7	tt11439210:-	tt11439212:-	tt11439214:-	tt11439216:-	tt11439218:-	tt11439220:-	tt11439224:-	tt11439226:-	tt11439228:-	tt11439230:-	tt11439232:-	tt11439234:-	tt11439236:-	tt11439240:-	tt11482148:-	tt11482164:-	tt11482172:-	tt11482174:-	tt11482184:-	tt11482190:-	tt11482192:-	tt11482196:-	tt11482200:-	tt11482206:-	tt11482208:-	tt11482212:-	tt11482216:-	tt11518044:-	tt11518052:-	tt11518054:-	
8	tt11518056:-	tt11518058:-	tt11518060:-	tt11518062:-	tt11518064:-	tt11518066:-	tt11518072:-	tt11518076:-	tt11518080:-	tt11518082:-	tt11594928:-	tt11594994:-	tt11594998:-	tt11595008:-	tt11595022:-	tt11595032:-	tt11595042:-	tt11595058:-	tt11595076:-	tt11595084:-	tt11595096:-	tt11595106:-	tt11595110:-	tt11656098:-	tt11656112:-	tt11656144:-	tt11656148:-	tt11656152:-	tt11656160:-	tt11656174:-	
9	tt11656196:-	tt11656200:-	tt11656210:-	tt11656216:-	tt11656224:-	tt11678818:-	tt11678830:-	tt11678854:-	tt11679002:-	tt11679058:-	tt11679072:-	tt11679082:-	tt11679086:-	tt11679090:-	tt11679092:-	tt11679100:-	tt11679110:-	tt11679112:-	tt11679116:-	tt11728994:-	tt11736010:-	tt11736016:-	tt11736030:-	tt11736052:-	tt11736062:-	tt11736290:-	tt11736306:-	tt11736320:-	tt11736330:-	tt11747976:-	
10	tt11747984:-	tt11748030:-	tt11748038:-	tt11748046:-	tt11748048:-	tt11748050:-	tt11748052:-	tt11748056:-	tt11748062:-	tt11748070:-	tt11748082:-	tt11748096:-	tt11748102:-	tt11748114:-	tt11748142:-	tt11802882:-	tt11802884:-	tt11802890:-	tt11802892:-	tt11802894:-	tt11802896:-	tt11802900:-	tt11802902:-	tt11802904:-	tt11802908:-	tt11802910:-	tt11845834:-	tt11845836:-	
11	tt11845844:-	tt11845848:-	tt11845852:-	tt11845856:-	tt11845860:-	tt11845868:-	tt11845872:-	tt11845876:-	tt11845880:-	tt11845886:-	tt11845890:-	tt11845900:-	tt11890226:-	tt11890232:-	tt11890246:-	tt11890256:-	tt11890260:-	tt11890268:-	tt11890270:-	tt11890280:-	tt11890284:-	tt11890288:-	tt11890298:-	tt11890300:-	tt11890308:-	tt11890310:-	tt11933834:-	tt11933840:-	tt11933844:-	tt11933848:-	
