\N	tt12307620:-	tt5677396:7.7	
1	tt3744882:7.5	tt4061686:8.0	tt4061694:7.9	
2	tt5475512:7.4	tt5475516:7.6	tt5509918:7.2	tt8923128:-	
3	tt8078934:7.6	tt8078944:7.7	tt8078954:8.3	tt8078964:8.1	
