9	tt0673041:-	tt0673057:-	tt0808090:-	tt0808092:-	tt0808094:-	tt1278915:-	tt1285817:-	tt1285819:-	tt1298366:-	tt1298367:-	tt1298690:-	tt1298692:-	tt2292456:-	
\N	tt0673042:-	tt2271530:-	
2	tt0673043:-	tt0673049:-	tt0673056:-	tt0673061:-	tt0763711:-	tt0794571:-	tt0798184:-	tt0798509:-	tt0802364:-	tt0814427:-	tt0814430:-	tt0814432:-	tt0814433:-	tt1114067:-	tt1673228:-	
1	tt0673044:-	tt0673045:-	tt0673046:-	tt0673047:-	tt0673048:-	tt0673050:-	tt0673051:-	tt0673052:-	tt0673055:-	tt0673058:-	tt0673059:-	tt0673060:-	tt0673062:-	
3	tt0673053:-	tt0789179:-	tt0798185:-	tt0802362:-	tt0814429:-	tt0817784:-	tt0825425:-	tt0828507:-	tt0834747:-	tt0845340:-	tt0852494:-	tt0854352:-	tt0861627:-	
7	tt0673054:-	tt0807449:-	tt0813842:-	tt0813843:-	tt0813844:-	tt0813845:-	tt0813846:-	tt0813847:-	tt0813848:-	tt0813849:-	tt0813850:-	tt0813851:-	tt1090081:-	
5	tt0770334:-	tt0786382:-	tt0790558:-	tt0790941:-	tt0790942:-	tt0798508:-	tt0803188:-	tt0805919:-	tt0805920:-	tt0808091:-	tt0814428:-	tt0932602:-	tt0948018:-	
4	tt0798183:-	tt0798186:-	tt0799519:-	tt0802363:-	tt0803189:-	tt0808093:-	tt0814431:-	tt0817785:-	tt0825426:-	tt0886626:-	tt0889854:-	tt0920089:-	tt0920090:-	
8	tt0807450:-	tt1090080:-	tt1107028:-	tt1124880:-	tt1196546:-	tt1277075:-	tt1277076:-	tt1277393:-	tt1277751:-	tt1278209:-	tt1278210:-	tt1278211:-	tt1278212:-	tt1285818:-	
6	tt0813829:-	tt0813830:-	tt0813831:-	tt0813832:-	tt0813833:-	tt0813834:-	tt0813835:-	tt0813836:-	tt0813837:-	tt0813838:-	tt0813839:-	tt0813840:-	tt0813841:-	
