1	tt2046740:-	tt2046741:-	tt2046742:6.2	tt2046743:7.2	tt2046744:-	tt2046745:7.6	tt2046746:6.3	
2	tt2572532:-	tt2576966:7.4	tt2593220:7.0	tt2613270:-	tt2629882:-	tt2658838:-	tt2673588:-	tt2700824:-	tt2715228:-	
4	tt3307404:8.5	tt3587750:-	tt3647852:7.8	tt3647856:-	tt3666850:-	tt7952112:-	
3	tt3314742:-	tt3323576:-	tt3342602:-	tt3358428:-	tt3373726:-	tt3380300:-	tt3391870:-	tt3411676:-	
5	tt3966828:-	tt3966836:-	tt3966840:8.7	tt4020150:-	tt4020154:-	tt4076726:-	tt4076730:7.2	tt4076738:-	
\N	tt7205048:-	
