4	tt10005204:5.8	tt5782438:8.3	tt5805988:8.2	tt5852682:8.3	tt5855960:8.3	tt5872078:8.2	tt5889858:8.2	
1	tt1660434:8.3	tt1663248:7.7	tt1664135:8.3	tt1668927:8.1	tt1669327:8.3	tt1695163:8.2	
2	tt2291013:8.3	tt2303221:8.4	tt2317559:8.4	tt2332991:8.0	tt2340391:8.3	tt2354705:8.4	
3	tt3511678:9.1	tt3570066:7.9	tt3570068:8.3	tt3585354:8.2	tt3599316:8.3	tt3615650:8.5	
