2	tt0516772:7.6	tt0516773:8.7	tt0516783:9.6	tt0762600:8.7	tt0762601:7.7	tt0766472:8.3	tt0775583:9.3	tt0784201:8.4	tt0789293:8.6	tt0789294:9.2	tt0794679:8.9	tt0805799:9.1	tt0822878:9.6	tt0827261:8.4	tt0829520:8.8	tt0829521:8.8	tt0831940:9.0	tt0831941:9.1	tt0876938:8.6	tt0887307:9.1	
1	tt0516774:8.0	tt0516775:7.8	tt0516776:8.2	tt0516777:8.6	tt0516778:7.9	tt0516779:8.1	tt0516780:9.4	tt0516782:8.7	tt0758992:7.9	tt0760062:8.2	tt0772328:8.3	tt0800734:8.9	tt0801470:8.1	tt0805800:8.5	tt0805801:8.2	tt0822879:8.0	tt0824795:9.2	tt0827262:7.0	tt0829522:9.1	tt10512638:9.7	tt5827942:8.7	
3	tt0888739:8.6	tt0888740:8.3	tt0888741:8.9	tt0888742:8.0	tt0900434:9.2	tt0966647:8.4	tt0967584:8.8	tt1117701:9.5	tt1127369:7.8	tt1132642:9.5	tt1133641:9.2	tt1136036:9.0	tt1166830:9.3	tt1176477:8.8	tt1193652:9.0	tt1194313:9.3	tt1204261:8.7	tt1204262:9.2	tt1204263:9.5	tt1204264:9.8	tt1204265:9.9	
