3	tt13385288:6.6	tt13430406:6.7	tt13430414:7.1	tt13465728:6.2	tt13502498:-	tt13529358:-	tt13592680:-	
1	tt8254432:8.0	tt8259974:7.9	tt8281546:7.6	tt8315900:7.9	tt8350082:7.7	tt8387970:7.9	
2	tt8969920:7.1	tt9048876:7.2	tt9190122:7.8	tt9190132:7.0	tt9190138:6.1	tt9190144:7.2	
