10	tt0656213:8.4	tt0656233:8.5	tt0656241:7.4	tt0656247:8.2	tt0656264:8.2	tt0656270:8.4	tt0656301:8.3	tt0656306:8.0	tt0656312:8.4	tt0656318:8.2	tt0656341:8.1	tt0656353:7.8	tt0656354:7.7	tt0656355:7.9	tt0656356:8.0	tt0656357:8.2	tt0656366:8.6	tt0656369:7.5	tt0656376:7.7	tt0656439:7.8	tt0656467:8.7	tt0656472:8.2	
1	tt0656214:8.2	tt0656222:8.0	tt0656226:8.1	tt0656245:7.9	tt0656251:7.8	tt0656281:8.1	tt0656291:8.2	tt0656294:8.1	tt0656299:8.3	tt0656323:7.8	tt0656337:8.1	tt0656364:8.1	tt0656378:7.9	tt0656382:8.0	tt0656383:8.4	tt0656390:8.6	tt0656396:7.8	tt0656405:8.2	tt0656414:8.0	tt0656443:8.3	tt0656449:7.8	tt0656474:7.8	
5	tt0656215:8.4	tt0656229:8.3	tt0656234:7.5	tt0656267:7.8	tt0656275:7.9	tt0656302:8.1	tt0656314:8.4	tt0656316:8.2	tt0656331:8.4	tt0656347:9.1	tt0656348:9.2	tt0656385:8.3	tt0656389:7.7	tt0656395:8.0	tt0656399:7.6	tt0656404:8.3	tt0656427:8.5	tt0656428:7.4	tt0656434:7.7	tt0656444:7.5	tt0656455:8.0	tt0656471:7.7	
3	tt0656216:9.3	tt0656223:7.6	tt0656227:8.0	tt0656235:8.0	tt0656252:7.2	tt0656255:8.7	tt0656256:8.0	tt0656261:7.8	tt0656271:7.9	tt0656280:8.1	tt0656293:7.6	tt0656304:8.1	tt0656305:8.4	tt0656308:7.8	tt0656313:8.1	tt0656375:7.6	tt0656403:7.7	tt0656416:8.1	tt0656426:7.3	tt0656430:7.7	tt0656438:7.4	tt0656454:7.9	
4	tt0656217:8.3	tt0656221:7.7	tt0656224:7.8	tt0656228:7.8	tt0656237:7.2	tt0656253:7.7	tt0656282:8.0	tt0656320:7.1	tt0656330:8.0	tt0656359:7.8	tt0656363:7.8	tt0656410:7.7	tt0656413:8.0	tt0656432:8.1	tt0656436:7.7	tt0656448:7.4	tt0656450:7.8	tt0656457:7.3	tt0656460:7.8	tt0656461:7.9	tt0656465:7.9	tt0656466:8.0	
7	tt0656218:8.0	tt0656230:8.3	tt0656240:8.0	tt0656250:8.1	tt0656283:8.1	tt0656295:7.9	tt0656333:8.0	tt0656345:7.8	tt0656346:8.3	tt0656352:7.6	tt0656391:8.3	tt0656402:7.7	tt0656408:7.9	tt0656412:8.1	tt0656422:8.2	tt0656423:8.5	tt0656424:7.6	tt0656425:7.9	tt0656431:7.9	tt0656433:7.9	tt0656456:8.1	tt0656462:8.1	
9	tt0656219:8.7	tt0656236:8.2	tt0656242:8.4	tt0656243:8.4	tt0656260:8.2	tt0656268:7.6	tt0656298:7.9	tt0656300:8.4	tt0656303:8.0	tt0656310:8.1	tt0656311:8.0	tt0656315:8.2	tt0656334:8.3	tt0656335:8.6	tt0656343:7.8	tt0656344:8.7	tt0656351:8.3	tt0656360:8.0	tt0656368:8.7	tt0656371:8.2	tt0656386:8.3	tt0656393:7.4	tt0656445:8.2	
2	tt0656220:8.0	tt0656225:7.7	tt0656246:7.9	tt0656248:7.7	tt0656258:7.7	tt0656269:8.1	tt0656272:8.0	tt0656274:7.7	tt0656277:8.0	tt0656292:7.9	tt0656325:8.0	tt0656329:8.3	tt0656340:8.1	tt0656401:8.2	tt0656417:7.7	tt0656418:8.1	tt0656421:7.7	tt0656440:8.1	tt0656442:7.7	tt0656446:7.6	tt0656451:8.0	tt0656468:7.7	
11	tt0656231:8.8	tt0656232:7.7	tt0656254:8.2	tt0656257:8.2	tt0656290:8.3	tt0656324:8.5	tt0656332:7.1	tt0656338:7.4	tt0656373:7.5	tt0656374:8.1	tt0656377:7.8	tt0656379:8.1	tt0656380:8.3	tt0656384:6.9	tt0656398:7.8	tt0656411:7.8	tt0656419:8.0	tt0656441:8.1	tt0656459:8.3	tt0656463:8.2	tt0656469:8.5	tt0656473:7.9	
12	tt0656238:8.5	tt0656239:8.9	tt0656273:8.3	tt0656278:8.5	tt0656286:8.3	tt0656296:8.4	tt0656319:7.5	tt0656321:8.3	tt0656339:8.3	tt0656342:8.7	tt0656361:9.4	tt0656362:8.3	tt0656372:8.6	tt0656397:8.3	tt0656406:8.5	tt0656407:8.3	tt0656415:8.2	tt0656420:8.3	tt0656429:8.8	tt0656470:8.1	
6	tt0656244:7.9	tt0656249:8.7	tt0656259:8.0	tt0656262:7.8	tt0656263:8.4	tt0656266:8.2	tt0656276:8.2	tt0656297:8.2	tt0656307:9.5	tt0656317:7.8	tt0656322:8.2	tt0656336:8.3	tt0656358:8.3	tt0656367:8.1	tt0656387:8.4	tt0656388:7.6	tt0656394:8.9	tt0656400:7.4	tt0656409:7.5	tt0656437:7.9	tt0656452:8.5	tt0656458:8.2	
8	tt0656265:8.5	tt0656279:8.1	tt0656284:7.5	tt0656285:7.9	tt0656287:8.1	tt0656288:7.8	tt0656289:7.6	tt0656326:8.3	tt0656327:8.7	tt0656328:8.1	tt0656349:8.3	tt0656350:7.7	tt0656365:8.1	tt0656370:7.0	tt0656381:8.2	tt0656392:8.0	tt0656435:7.4	tt0656447:8.1	tt0656453:7.9	tt0656464:7.8	
