5	tt11473488:7.2	tt11559214:7.7	tt11600822:7.8	tt11611142:7.8	tt11687912:7.8	tt11713138:8.4	
6	tt13781624:-	
1	tt5192214:8.4	tt5192218:8.5	tt5192222:8.2	tt5192226:8.6	tt5192232:9.0	
2	tt6166380:8.7	tt6166382:8.5	tt6208780:7.8	tt6208782:8.3	tt6209734:8.8	
\N	tt6671786:-	tt6671792:-	tt6671794:-	
3	tt7797144:8.6	tt7848580:8.2	tt7884394:8.1	tt7912444:8.5	tt7941910:8.6	
4	tt9526794:7.9	tt9596846:7.4	tt9596850:7.6	tt9630946:8.0	tt9711354:7.2	tt9728742:7.1	
